ID, shortest_travel_time, travel_time, delay_time, simu_diff_exit_time
car_85,107.335,110,2.66548,-6.35142
car_1983,125.224,181.8,56.5764,43.1867
car_283,125.224,231.6,106.376,32.2862
car_474,107.335,173.4,66.0655,33.9466
car_1756,125.224,301.8,176.576,124.257
car_135,107.335,133.6,26.2655,14.366
car_67,89.4454,89.8,0.354563,-0.53672
car_4665,89.4454,272,182.555,78.7369
car_1514,107.335,421.6,314.265,179.862
car_1015,89.4454,149.4,59.9546,59.1443
car_38,107.335,119.4,12.0655,2.05736
car_5402,107.335,115.5,8.16548,-5.72616
car_755,107.335,319,211.665,104.662
car_539,89.4454,119.5,30.0546,18.9204
car_412,125.224,186.6,61.3764,23.7222
car_113,89.4454,94.5,5.05456,-20.0553
car_49,89.4454,91.4,1.95456,-2.1278
car_1947,125.224,321.6,196.376,4.4747
car_706,89.4454,123.7,34.2546,19.7771
car_1110,107.335,365.7,258.365,140.985
car_1499,107.335,374.5,267.165,137.086
car_1785,107.335,157.7,50.3655,34.4227
car_144,125.224,148.4,23.1764,2.68174
car_56,107.335,112.7,5.36548,-0.943138
car_3233,107.335,332.5,225.165,144.585
car_1064,107.335,158.7,51.3655,21.7392
car_5789,125.224,186.8,61.5764,12.996
car_1,89.4454,92.6,3.15456,-1.2553
car_6368,107.335,150.2,42.8655,33.2845
car_1743,107.335,178.9,71.5655,29.6194
car_102,89.4454,93.7,4.25456,-2.49031
car_465,125.224,159.8,34.5764,27.4135
car_10,89.4454,91.1,1.65456,-1.09881
car_1022,107.335,151.2,43.8655,31.3965
car_4515,125.224,273.4,148.176,136.042
car_1505,125.224,399,273.776,155.24
car_105,107.335,123,15.6655,8.82287
car_1744,125.224,363.6,238.376,133.544
car_462,107.335,117.7,10.3655,0.207876
car_1025,107.335,222.8,115.465,75.2101
car_4512,89.4454,93.8,4.35456,-2.59534
car_1502,125.224,327.2,201.976,182.872
car_17,89.4454,91.1,1.65456,-2.1751
car_3485,107.335,335.5,228.165,78.4842
car_2622,107.335,339,231.665,97.8936
car_181,89.4454,94.5,5.05456,-3.42092
car_3980,107.335,273.1,165.765,70.3377
car_404,89.4454,116.1,26.6546,17.3789
car_1847,125.224,352.5,227.276,121.413
car_1766,89.4454,188.2,98.7546,77.0862
car_4574,89.4454,89.9,0.454563,-0.538116
car_1564,125.224,191.5,66.2764,57.2854
car_31,89.4454,92.7,3.25456,-1.49724
car_1076,125.224,406.2,280.976,146.252
car_1119,125.224,269.6,144.376,99.3896
car_4527,107.335,225.3,117.965,45.6935
car_1537,107.335,237.5,130.165,88.0676
car_314,107.335,145.1,37.7655,-0.844102
car_4109,89.4454,220.9,131.455,89.6294
car_40,89.4454,93.2,3.75456,-0.5971
car_457,107.335,214.4,107.065,67.5978
car_2693,125.224,308.4,183.176,26.2781
car_156,107.335,147.7,40.3655,28.1471
car_525,107.335,123.7,16.3655,4.39739
car_1405,107.335,248.8,141.465,111.983
car_19,107.335,114.2,6.86548,-3.57363
car_2,107.335,108.7,1.36548,-1.04249
car_648,89.4454,127.2,37.7546,37.026
car_4420,107.335,398.1,290.765,172.267
car_5805,107.335,145.8,38.4655,23.4715
car_1210,107.335,115.2,7.86548,5.57255
car_3388,125.224,162,36.7764,21.4497
car_147,125.224,168.3,43.0764,29.1219
car_1786,107.335,324.1,216.765,87.0746
car_2808,125.224,403.4,278.176,115.993
car_55,89.4454,91.1,1.65456,0.169864
car_2039,107.335,367.1,259.765,147.541
car_3230,107.335,293.6,186.265,97.4862
car_1067,125.224,168.7,43.4764,30.2301
car_2409,107.335,297.7,190.365,27.9539
car_296,125.224,161.5,36.2764,7.66822
car_1934,107.335,214.1,106.765,66.3496
car_717,107.335,154.9,47.5655,27.7124
car_72,89.4454,90.5,1.05456,-0.0198334
car_1105,125.224,272.6,147.376,71.5815
car_585,107.335,124.8,17.4655,6.16945
car_3908,89.4454,231,141.555,81.6302
car_4260,125.224,269,143.776,108.336
car_0,107.335,111.3,3.96548,-4.17059
car_1498,125.224,214.8,89.5764,61.5093
car_145,107.335,135.7,28.3655,14.0213
car_1784,107.335,330.9,223.565,111.137
car_3232,107.335,123.7,16.3655,-1.1885
car_5285,125.224,310.9,185.676,95.9917
car_1065,125.224,361.7,236.476,109.776
car_57,89.4454,92.7,3.25456,-2.13628
car_1980,107.335,390.4,283.065,172.085
car_86,89.4454,93,3.55456,-4.34493
car_4894,107.335,300.6,193.265,135.548
car_1211,125.224,303,177.776,139.814
car_3389,107.335,367.5,260.165,131.207
car_649,107.335,218.1,110.765,83.4734
car_1787,125.224,343.9,218.676,134.824
car_146,107.335,130.8,23.4655,12.4618
car_54,107.335,120,12.6655,2.12373
car_3231,107.335,158.8,51.4655,42.3652
car_2038,125.224,449.3,324.076,175.44
car_4616,107.335,113.6,6.26548,-0.128062
car_1066,107.335,138.7,31.3655,22.4305
car_1404,107.335,323,215.665,97.5322
car_18,107.335,117.8,10.4655,2.32555
car_3,107.335,110.8,3.46548,-1.66262
car_1952,89.4454,269.2,179.755,113.749
car_2805,107.335,376.8,269.465,171.191
car_58,107.335,118.1,10.7655,2.08896
car_4133,107.335,127.2,19.8655,11.1694
car_2034,107.335,356.2,248.865,84.5219
car_1123,107.335,114.8,7.46548,1.51191
car_1057,107.335,158.9,51.5655,21.0082
car_371,107.335,181.2,73.8655,51.6312
car_829,107.335,146.2,38.8655,9.13471
car_1893,125.224,372.3,247.076,144.88
car_3976,107.335,351.4,244.065,107.434
car_1794,107.335,226.3,118.965,76.1065
car_177,89.4454,92.4,2.95456,2.22618
car_3121,89.4454,89.9,0.454563,-0.627203
car_106,89.4454,102.9,13.4546,1.69755
car_1747,107.335,365.7,258.365,127.265
car_528,107.335,123.3,15.9655,4.71308
car_461,107.335,199.9,92.5655,44.7572
car_1026,107.335,234.1,126.765,73.0906
car_4511,107.335,349.5,242.165,139.462
car_1408,107.335,341,233.665,102.695
car_1501,89.4454,297.1,207.655,130.573
car_14,107.335,111.4,4.06548,-4.05495
car_5801,107.335,121.9,14.5655,6.60176
car_4424,89.4454,240.5,151.055,58.5448
car_1214,107.335,120.6,13.2655,3.29029
car_143,107.335,136.5,29.1655,11.0161
car_1782,107.335,416.7,309.365,204.924
car_51,107.335,121,13.6655,5.36265
car_1063,107.335,158.3,50.9655,25.1004
car_6,107.335,113.7,6.36548,-2.31827
car_460,107.335,140,32.6655,24.6682
car_529,125.224,297.2,171.976,123.854
car_1746,107.335,273.1,165.765,127.824
car_107,107.335,123.6,16.2655,7.19842
car_1500,89.4454,206.5,117.055,81.4969
car_1409,107.335,195.1,87.7655,57.3035
car_1027,125.224,388,262.776,163.872
car_15,107.335,111.8,4.46548,-1.57672
car_485,107.335,114,6.66548,-2.34378
car_3901,107.335,294.5,187.165,66.0464
car_1082,107.335,146.3,38.9655,23.547
car_9,107.335,114.6,7.26548,-2.9478
car_2687,107.335,177.4,70.0655,42.7926
car_3510,107.335,287.9,180.565,85.9459
car_2953,107.335,382.6,275.265,156.478
car_128,89.4454,93.4,3.95456,-1.62918
car_292,107.335,129.9,22.5655,19.4494
car_4111,125.224,277.7,152.476,129.777
car_1008,125.224,257.1,131.876,108.542
car_1101,125.224,199.7,74.4764,64.1973
car_713,107.335,179.2,71.8655,41.1166
car_1930,89.4454,324.5,235.055,136.123
car_76,107.335,123.7,16.3655,4.37911
car_762,107.335,190.2,82.8655,41.3796
car_29,107.335,109.8,2.46548,-0.115039
car_402,107.335,168.4,61.0655,25.1906
car_1841,125.224,430.7,305.476,180.032
car_1760,107.335,290.3,182.965,115.517
car_1562,107.335,312.4,205.065,106.537
car_37,107.335,108.6,1.26548,-1.05269
car_444,107.335,148.1,40.7655,25.5097
car_2688,107.335,268.4,161.065,123.024
car_127,107.335,139.4,32.0655,23.4865
car_4677,107.335,276.2,168.865,103.75
car_325,89.4454,103.8,14.3546,6.47442
car_1524,89.4454,96.8,7.35456,0.837678
car_4534,107.335,321.4,214.065,107.188
car_1007,107.335,146.4,39.0655,29.0502
car_79,107.335,108.7,1.36548,-0.607955
car_1717,125.224,348.5,223.276,111.908
car_435,107.335,179.5,72.1655,30.7126
car_1854,107.335,348,240.665,104.929
car_1555,125.224,157.5,32.2764,18.0806
car_26,107.335,115.3,7.96548,-2.88267
car_4592,107.335,120.4,13.0655,4.23509
car_1582,125.224,239.1,113.876,28.4533
car_97,89.4454,97,7.55456,-0.693214
car_101,107.335,123.2,15.8655,7.65965
car_1740,125.224,409.6,284.376,142.801
car_466,107.335,219.4,112.065,73.7858
car_1021,89.4454,102.2,12.7546,5.32992
car_4651,107.335,252.7,145.365,4.3878
car_1506,89.4454,220.2,130.755,103.367
car_13,107.335,114.7,7.36548,-0.933842
car_1958,125.224,358.8,233.576,116.32
car_52,107.335,123,15.6655,7.40201
car_3237,107.335,114.9,7.56548,2.35431
car_5389,107.335,161.5,54.1655,43.7361
car_4139,107.335,291.2,183.865,139.388
car_1129,107.335,153.1,45.7655,21.7809
car_1060,125.224,191.6,66.3764,-0.316506
car_1217,89.4454,135.4,45.9546,17.0997
car_3578,125.224,188.8,63.5764,53.7767
car_1781,107.335,169.9,62.5655,56.615
car_140,89.4454,93.2,3.75456,-3.99265
car_489,89.4454,101.7,12.2546,5.83403
car_580,107.335,215,107.665,74.622
car_5,107.335,116.1,8.76548,1.8604
car_1783,107.335,292.5,185.165,122.004
car_142,107.335,137.9,30.5655,12.8285
car_3235,107.335,229.7,122.365,75.8197
car_4612,107.335,108.5,1.16548,-3.25026
car_1062,107.335,371.7,264.365,170.049
car_50,107.335,112.4,5.06548,-3.62207
car_4267,125.224,207.5,82.2764,72.7602
car_582,89.4454,108.6,19.1546,11.5279
car_2489,107.335,114.8,7.46548,0.743795
car_2580,107.335,230.6,123.265,-2.98254
car_4906,107.335,146.1,38.7655,19.1264
car_7,107.335,116.8,9.46548,-1.87445
car_3236,107.335,361.8,254.465,110.944
car_1128,125.224,419.8,294.576,151.683
car_1061,107.335,211.1,103.765,45.231
car_1959,107.335,326.6,219.265,81.22
car_53,107.335,121,13.6655,6.37268
car_3579,107.335,334.9,227.565,130.142
car_141,89.4454,90.1,0.654563,-0.0732862
car_1780,107.335,375.2,267.865,127.724
car_1767,107.335,383.5,276.165,140.653
car_1846,125.224,337.3,212.076,120.172
car_405,107.335,166,58.6655,-6.01572
car_1565,107.335,232.2,124.865,39.7824
car_30,107.335,118.6,11.2655,-13.8682
car_5701,107.335,110.3,2.96548,-7.10598
car_456,107.335,161.4,54.0655,25.1271
car_2692,125.224,410.6,285.376,156.463
car_157,125.224,160.5,35.2764,10.242
car_315,107.335,137.8,30.4655,21.3387
car_1536,89.4454,344.1,254.655,126.259
car_1118,107.335,348.4,241.065,117.988
car_1077,107.335,157.5,50.1655,22.5028
car_41,107.335,111.1,3.76548,-0.123947
car_25,107.335,118.1,10.7655,5.05997
car_1004,89.4454,155.9,66.4546,38.1729
car_4537,107.335,121.4,14.0655,1.51769
car_1527,107.335,127.7,20.3655,-3.27416
car_326,125.224,151.6,26.3764,-0.262445
car_124,89.4454,94.3,4.85456,-0.443353
car_447,89.4454,118.2,28.7546,15.3966
car_1842,107.335,267.1,159.765,155.077
car_401,125.224,157.9,32.6764,13.4649
