ID, shortest_travel_time, travel_time, delay_time, simu_diff_exit_time
car_929,89.4454,89.6,0.154563,-0.592606
car_1852,107.335,111.2,3.86548,-3.89333
car_433,107.335,112.9,5.56548,-3.78434
car_1711,125.224,137.5,12.2764,0.216985
car_1553,125.224,132.9,7.67639,5.73251
car_20,89.4454,89.9,0.454563,-0.64706
car_1857,89.4454,89.8,0.354563,-1.57752
car_436,107.335,112.2,4.86548,-2.60831
car_1714,125.224,137.1,11.8764,6.53137
car_1556,107.335,112.4,5.06548,-3.26862
car_25,89.4454,91.4,1.95456,1.21072
car_1846,125.224,137.6,12.3764,-4.45309
car_405,125.224,134.8,9.57639,-6.636
car_3981,125.224,137.7,12.4764,8.70258
car_1767,107.335,108.5,1.16548,-1.05956
car_1565,107.335,111.4,4.06548,-6.2291
car_5701,107.335,116.8,9.46548,-0.551494
car_30,107.335,116.1,8.76548,-0.331912
car_456,89.4454,93.9,4.45456,3.53219
car_2692,107.335,117.2,9.86548,-0.0444687
car_157,107.335,112.5,5.16548,-3.37052
car_5297,125.224,132.9,7.67639,1.06375
car_4607,107.335,116.1,8.76548,-2.05794
car_4108,107.335,117.1,9.76548,-6.52153
car_1536,125.224,133.4,8.17639,7.57029
car_315,125.224,129.8,4.57639,-2.27766
car_6919,107.335,113.7,6.36548,-2.03874
car_4526,107.335,115.8,8.46548,-3.54272
car_1118,107.335,111.6,4.26548,-8.24611
car_1077,125.224,130.5,5.27639,4.41337
car_41,89.4454,91,1.55456,-2.19688
car_412,107.335,112.3,4.96548,-4.34876
car_539,107.335,119.9,12.5655,-0.302664
car_6375,89.4454,89.9,0.454563,-0.642838
car_113,89.4454,89.7,0.254563,-4.85837
car_755,107.335,116.8,9.46548,0.601149
car_7105,125.224,133.2,7.97639,-0.208018
car_5709,107.335,118.2,10.8655,2.46494
car_5402,107.335,115.4,8.06548,-9.13444
car_38,89.4454,89.6,0.154563,-1.59037
car_7499,107.335,114.5,7.16548,-1.74533
car_454,107.335,112.8,5.46548,-3.92175
car_2690,107.335,110.3,2.96548,-5.45925
car_155,125.224,136,10.7764,3.25645
car_5295,107.335,116.8,9.46548,-1.60844
car_4605,125.224,133.8,8.57639,-10.1233
car_1534,89.4454,89.9,0.454563,-0.650745
car_317,107.335,113.1,5.76548,-3.85635
