ID, shortest_travel_time, travel_time, delay_time, simu_diff_exit_time
car_85,107.335,110,2.66548,-4.0264
car_1983,125.224,219.3,94.0764,84.3463
car_474,107.335,172.9,65.5655,49.7571
car_1756,125.224,299.9,174.676,137.654
car_135,107.335,119.2,11.8655,2.45847
car_283,125.224,183.9,58.6764,42.3979
car_1015,89.4454,138.7,49.2546,45.5606
car_4665,89.4454,304,214.555,114.216
car_1514,107.335,346.6,239.265,114.004
car_67,89.4454,89.8,0.354563,-0.548669
car_38,107.335,121.8,14.4655,1.39305
car_5402,107.335,116.3,8.96548,-2.45497
car_755,107.335,322.1,214.765,121.436
car_539,89.4454,106.1,16.6546,10.4897
car_412,125.224,219.2,93.9764,84.3976
car_113,89.4454,94.5,5.05456,-7.5132
car_1110,107.335,307.8,200.465,119.3
car_706,89.4454,111.5,22.0546,8.40419
car_1947,125.224,345.9,220.676,140.746
car_49,89.4454,91.4,1.95456,-2.1278
car_1499,107.335,348.4,241.065,89.8052
car_1785,107.335,134.6,27.2655,13.5
car_144,125.224,150,24.7764,-0.312426
car_56,107.335,112.9,5.56548,-2.99089
car_3233,107.335,274.1,166.765,90.5395
car_1064,107.335,159.3,51.9655,45.4292
car_5789,125.224,221,95.7764,86.05
car_1,89.4454,92.6,3.15456,-0.577923
car_1743,107.335,182.1,74.7655,62.4072
car_102,89.4454,93.2,3.75456,-1.57102
car_6368,107.335,132.5,25.1655,17.0335
car_465,125.224,164.1,38.8764,-1.07255
car_10,89.4454,90.6,1.15456,-0.5935
car_1022,107.335,159.8,52.4655,49.3651
car_4515,125.224,170.9,45.6764,35.2162
car_1505,125.224,414.5,289.276,187.727
car_105,107.335,120.3,12.9655,7.07742
car_1744,125.224,349,223.776,108.606
car_462,107.335,117.3,9.96548,-0.906793
car_1025,107.335,214.9,107.565,93.051
car_4512,89.4454,94.4,4.95456,-0.369349
car_1502,125.224,280.9,155.676,121.461
car_17,89.4454,91.1,1.65456,-2.1751
car_2622,107.335,363.6,256.265,109.416
car_3485,107.335,388.1,280.765,93.1642
car_181,89.4454,92.8,3.35456,-2.67016
car_404,89.4454,112.8,23.3546,15.4218
car_1847,125.224,372.1,246.876,131.739
car_1766,89.4454,148.4,58.9546,51.5358
car_4574,89.4454,89.9,0.454563,-0.538116
car_1564,125.224,212.5,87.2764,75.9461
car_31,89.4454,92.7,3.25456,-1.49724
car_4606,107.335,377.1,269.765,148.002
car_1537,107.335,251.5,144.165,112.475
car_314,107.335,154.8,47.4655,7.5544
car_4109,89.4454,254.2,164.755,98.6531
car_4527,107.335,201.8,94.4655,16.2408
car_1076,125.224,393.6,268.376,150.601
car_1119,125.224,184.3,59.0764,28.4324
car_40,89.4454,93.2,3.75456,-0.335347
car_457,107.335,174,66.6655,50.2885
car_2693,125.224,453.2,327.976,246.535
car_156,107.335,142.6,35.2655,23.0942
car_525,107.335,111.8,4.46548,-4.73761
car_1405,107.335,178.2,70.8655,67.3331
car_19,107.335,114.2,6.86548,-2.03404
car_2,107.335,108.7,1.36548,-1.04249
car_648,89.4454,117.3,27.8546,25.8447
car_5805,107.335,115.4,8.06548,-0.144398
car_1210,107.335,117.7,10.3655,4.06001
car_3388,125.224,176.4,51.1764,40.6513
car_147,125.224,173,47.7764,27.2124
car_1786,107.335,378.7,271.365,152.148
car_2808,125.224,379.1,253.876,106.478
car_55,89.4454,91.1,1.65456,-0.825286
car_2039,107.335,363,255.665,173.367
car_3230,107.335,409.8,302.465,239.509
car_1067,125.224,173.2,47.9764,40.7253
car_2409,107.335,354.1,246.765,144.762
car_296,125.224,155.3,30.0764,22.4157
car_1934,107.335,223.3,115.965,94.5204
car_717,107.335,169.8,62.4655,45.3199
car_72,89.4454,90.5,1.05456,-0.0198334
car_1105,125.224,287.9,162.676,139.355
car_585,107.335,145.8,38.4655,30.7108
car_3908,89.4454,314.8,225.355,89.9011
car_4260,125.224,304.2,178.976,167.848
car_0,107.335,114.2,6.86548,-1.27059
car_1498,125.224,238.8,113.576,99.925
car_145,107.335,132.2,24.8655,11.3516
car_1784,107.335,379.9,272.565,139.025
car_5285,125.224,379,253.776,114.556
car_3232,107.335,124.9,17.5655,7.27923
car_1065,125.224,378.5,253.276,111.45
car_57,89.4454,92.7,3.25456,-2.08025
car_1838,125.224,200.4,75.1764,63.2808
car_499,125.224,162.5,37.2764,28.1
car_3915,89.4454,347.6,258.155,152.458
car_1980,107.335,353.2,245.865,142.792
car_86,89.4454,92.5,3.05456,-2.12674
car_4894,107.335,344.7,237.365,167.516
car_1211,125.224,270.3,145.076,118.437
car_3389,107.335,340.7,233.365,167.366
car_649,107.335,197.3,89.9655,74.4311
car_1787,125.224,329.2,203.976,125.693
car_146,107.335,124.8,17.4655,6.68349
car_2809,107.335,340.4,233.065,126.565
car_54,107.335,120,12.6655,4.27321
car_3231,107.335,157.8,50.4655,44.2393
car_2038,125.224,365.9,240.676,77.9309
car_4616,107.335,110.9,3.56548,0.837376
car_1066,107.335,136.1,28.7655,15.9306
car_1404,107.335,339,231.665,124.16
car_18,107.335,117.2,9.86548,-2.05895
car_3,107.335,110.3,2.96548,-2.16262
car_1952,89.4454,276.3,186.855,128.584
car_2805,107.335,375.6,268.265,184.373
car_58,107.335,118.2,10.8655,2.37603
car_4133,107.335,116,8.66548,1.68698
car_2034,107.335,382.9,275.565,148.191
car_1123,107.335,110.2,2.86548,-4.02199
car_3121,89.4454,89.9,0.454563,-0.627203
car_106,89.4454,102.4,12.9546,3.43705
car_1747,107.335,389.3,281.965,165.135
car_528,107.335,122.1,14.7655,10.2037
car_461,107.335,171.3,63.9655,55.2015
car_1501,89.4454,329.1,239.655,114.176
car_1408,107.335,360.8,253.465,126.245
car_4511,107.335,356.7,249.365,129.912
car_1026,107.335,311,203.665,150.727
car_14,107.335,111.4,4.06548,-4.27141
car_52,107.335,123.3,15.9655,7.70201
car_1958,125.224,318.8,193.576,134.476
car_3237,107.335,115.5,8.16548,1.90531
car_5389,107.335,153.8,46.4655,34.0756
car_4139,107.335,293.2,185.865,114.671
car_1060,125.224,151.4,26.1764,8.26617
car_1129,107.335,168.4,61.0655,23.0464
car_1217,89.4454,129.4,39.9546,29.2549
car_3578,125.224,287.3,162.076,155.246
car_1781,107.335,153.3,45.9655,39.5063
car_140,89.4454,93.5,4.05456,-3.07751
car_489,89.4454,101.4,11.9546,6.3702
car_580,107.335,183,75.6655,36.9072
car_5,107.335,113,5.66548,-2.57427
car_5801,107.335,154,46.6655,39.8184
car_4424,89.4454,225.5,136.055,69.4525
car_1214,107.335,120.5,13.1655,2.79464
car_143,107.335,133,25.6655,12.1941
car_1782,107.335,342.3,234.965,111.647
car_51,107.335,116.7,9.36548,0.887087
car_1063,107.335,148.3,40.9655,28.0037
car_6,107.335,113.6,6.26548,-4.66227
car_460,107.335,143.7,36.3655,-1.32648
car_529,125.224,248,122.776,104.996
car_1746,107.335,262,154.665,131.199
car_107,107.335,113.2,5.86548,-2.57336
car_1409,107.335,179.3,71.9655,67.1216
car_1500,89.4454,122.9,33.4546,16.6579
car_1027,125.224,389.3,264.076,113.226
car_15,107.335,111.8,4.46548,-1.57672
car_485,107.335,116.4,9.06548,4.35321
car_3901,107.335,344.8,237.465,95.3896
car_1082,107.335,141.2,33.8655,21.4895
car_9,107.335,114.6,7.26548,-2.9478
car_402,107.335,162.4,55.0655,44.2879
car_1841,125.224,394,268.776,154.567
car_1760,107.335,249.3,141.965,68.0959
car_1562,107.335,266.9,159.565,116.875
car_37,107.335,108.6,1.26548,-1.05269
car_2687,107.335,224,116.665,80.0571
car_3510,107.335,368.1,260.765,150.903
car_2953,107.335,406.7,299.365,183.456
car_128,89.4454,93.4,3.95456,-1.62918
car_292,107.335,129.2,21.8655,18.6694
car_713,107.335,175.2,67.8655,56.1251
car_1930,89.4454,320.4,230.955,115.769
car_76,107.335,118.6,11.2655,1.16337
car_4111,125.224,265.9,140.676,94.0795
car_1008,125.224,191.1,65.8764,51.2817
car_1101,125.224,189.3,64.0764,49.5086
car_762,107.335,192.3,84.9655,69.7023
car_29,107.335,109.9,2.56548,-0.413334
car_444,107.335,132.6,25.2655,-2.55944
car_2688,107.335,334,226.665,192.451
car_127,107.335,132.6,25.2655,9.67689
car_325,89.4454,104.2,14.7546,8.63619
car_1524,89.4454,97.1,7.65456,0.774612
car_4534,107.335,314.1,206.765,107.933
car_1007,107.335,134.8,27.4655,18.3705
car_79,107.335,108.7,1.36548,-1.13598
car_1717,125.224,409.6,284.376,162.27
car_435,107.335,173.4,66.0655,55.8622
car_1854,107.335,342,234.665,132.577
car_1555,125.224,214.1,88.8764,77.6662
car_26,107.335,115.6,8.26548,-0.0647552
car_4592,107.335,125.6,18.2655,3.49176
car_1582,125.224,305.5,180.276,56.8528
car_97,89.4454,96.5,7.05456,-1.47699
car_101,107.335,123.1,15.7655,7.55965
car_1740,125.224,392.8,267.576,167.02
car_466,107.335,202,94.6655,75.71
car_4516,107.335,367.5,260.165,131.056
car_1021,89.4454,93.8,4.35456,-2.97435
car_1506,89.4454,195.9,106.455,79.8789
car_13,107.335,114.7,7.36548,-0.933842
car_1783,107.335,266,158.665,100.725
car_142,107.335,128.4,21.0655,4.8603
car_3235,107.335,287.2,179.865,99.3936
car_4612,107.335,108.5,1.16548,-0.159833
car_1062,107.335,304.4,197.065,120.434
car_50,107.335,112.4,5.06548,-2.63676
car_4267,125.224,176.4,51.1764,-0.337399
car_582,89.4454,128.7,39.2546,29.3369
car_2489,107.335,115.9,8.56548,-0.0374707
car_2580,107.335,302.4,195.065,115.012
car_4906,107.335,121.8,14.4655,-0.808117
car_7,107.335,116.3,8.96548,-6.15895
car_206,89.4454,90.1,0.654563,-0.623554
car_1249,107.335,120.8,13.4655,6.75936
car_1128,125.224,378.6,253.376,118.477
car_1061,107.335,173,65.6655,55.9169
car_1959,107.335,309.7,202.365,94.9178
car_53,107.335,121.4,14.0655,8.47537
car_3579,107.335,285.6,178.265,107.417
car_141,89.4454,90.1,0.654563,-0.0732862
car_1780,107.335,379.1,271.765,165.118
car_1767,107.335,390.8,283.465,127.214
car_1846,125.224,263.2,137.976,89.8044
car_405,107.335,152.8,45.4655,27.7069
car_1565,107.335,249.4,142.065,102.96
car_30,107.335,117.1,9.76548,1.29131
car_5701,107.335,110.3,2.96548,-7.42927
car_456,107.335,139.5,32.1655,10.6986
car_2692,125.224,372.1,246.876,118.468
car_157,125.224,160.7,35.4764,11.5971
car_1118,107.335,352.4,245.065,137.784
car_1077,107.335,160,52.6655,18.5257
car_1536,89.4454,313.5,224.055,118.221
car_315,107.335,136.4,29.0655,14.0303
car_41,107.335,111.1,3.76548,-3.87486
car_1556,107.335,330.6,223.265,115.26
car_25,107.335,117.5,10.1655,1.32367
car_1004,89.4454,204.2,114.755,108.299
car_4537,107.335,113,5.66548,-3.3632
car_1527,107.335,132.1,24.7655,16.3613
car_326,125.224,166.1,40.8764,7.70743
car_124,89.4454,94.3,4.85456,-0.659811
