ID, shortest_travel_time, travel_time, delay_time, simu_diff_exit_time
car_474,107.335,186.7,79.3655,59.593
car_1756,125.224,379.5,254.276,152.625
car_135,107.335,135.5,28.1655,16.7635
car_283,125.224,217.6,92.3764,70.3919
car_1015,89.4454,173.1,83.6546,82.8562
car_1514,107.335,377.9,270.565,138.171
car_67,89.4454,90.3,0.854563,-0.0486694
car_38,107.335,119.4,12.0655,0.896168
car_5402,107.335,131.2,23.8655,12.2732
car_755,107.335,306.6,199.265,120.047
car_113,89.4454,94.5,5.05456,-7.47515
car_412,125.224,174.4,49.1764,30.5289
car_539,89.4454,112.4,22.9546,11.387
car_1110,107.335,311.4,204.065,138.319
car_706,89.4454,124.3,34.8546,7.72121
car_1947,125.224,409.9,284.676,138.104
car_49,89.4454,91.4,1.95456,-2.1278
car_1499,107.335,378.9,271.565,127.387
car_1785,107.335,120,12.6655,0.529807
car_144,125.224,160.9,35.6764,22.4222
car_3233,107.335,291.4,184.065,99.5275
car_1064,107.335,206.2,98.8655,87.6504
car_56,107.335,112.9,5.56548,-3.28221
car_5789,125.224,228.7,103.476,54.1412
car_1,89.4454,92.6,3.15456,-0.577923
car_6368,107.335,134.4,27.0655,13.6176
car_1743,107.335,180.7,73.3655,57.847
car_102,89.4454,92.3,2.85456,-2.47102
car_465,125.224,164.1,38.8764,9.96705
car_10,89.4454,90.6,1.15456,-0.5935
car_1022,107.335,175.9,68.5655,59.5268
car_4515,125.224,194.2,68.9764,27.8536
car_1505,125.224,373.6,248.376,121.916
car_105,107.335,121.1,13.7655,5.83067
car_1744,125.224,399.7,274.476,181.498
car_462,107.335,116.2,8.86548,-0.452069
car_1025,107.335,246.9,139.565,120.83
car_4512,89.4454,92.7,3.25456,-2.31968
car_1502,125.224,257.4,132.176,119.211
car_17,89.4454,91.1,1.65456,-2.1751
car_3485,107.335,312.4,205.065,91.5268
car_2622,107.335,370.2,262.865,135.689
car_181,89.4454,93.9,4.45456,-20.2839
car_404,89.4454,115.6,26.1546,16.6007
car_1847,125.224,348.4,223.176,121.076
car_1766,89.4454,139.1,49.6546,44.6944
car_4574,89.4454,89.9,0.454563,-0.538116
