0_0_computation,0_1_computation,0_2_computation,1_0_computation,1_1_computation,1_2_computation,2_0_computation,2_1_computation,2_2_computation,0_0_MEC_range,0_1_MEC_range,0_2_MEC_range,1_0_MEC_range,1_1_MEC_range,1_2_MEC_range,2_0_MEC_range,2_1_MEC_range,2_2_MEC_range,
0.444814,0.648054,0.413688,0.786647,1.84612,0.922855,0.257783,0.854759,0.637498,1_1|1_2|2_1|2_2|3_1|2_3|,1_3|1_4|1_5|1_6|1_7|2_4|2_5|2_6|,1_8|1_9|2_7|2_8|2_9|3_9|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_8|4_8|4_9|5_8|5_9|6_9|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|9_4|9_5|9_6|,7_8|8_8|8_9|9_7|9_8|9_9|6_8|8_7|8_6|,
0.441553,0.86872,0.520582,0.696013,3.58929,0.558188,0.552065,0.843599,0.781182,1_1|1_2|2_1|2_2|2_3|3_1|,1_3|1_4|1_5|1_6|1_7|2_4|2_5|2_6|,1_8|1_9|2_7|2_8|2_9|3_9|,3_2|4_1|4_2|5_1|5_2|6_1|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_8|4_8|4_9|5_8|5_9|6_9|7_9|6_8|,7_1|8_1|8_2|9_1|9_2|9_3|7_2|6_2|,8_3|8_4|8_5|9_4|9_5|9_6|,7_8|8_6|8_7|8_8|8_9|9_7|9_8|9_9|,
0.550825,0.772404,0.446575,0.680105,2.61106,0.70239,0.786156,0.497148,0.439955,1_1|1_2|2_1|2_2|2_3|3_1|,1_3|1_4|1_5|1_6|1_7|2_4|2_5|2_6|,1_8|1_9|2_7|2_8|2_9|3_9|,3_2|4_1|4_2|5_1|5_2|6_1|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_8|4_8|4_9|5_8|5_9|6_8|6_9|7_9|,6_2|7_1|7_2|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|9_4|9_5|9_6|,7_8|8_6|8_7|8_8|8_9|9_7|9_8|9_9|,
0.363238,1.09211,0.311006,0.604307,3.34389,0.869743,0.305269,0.555078,0.352181,1_1|1_2|2_1|2_2|2_3|3_1|,1_3|1_4|1_5|1_6|1_7|2_4|2_5|2_6|2_7|,1_8|1_9|2_8|2_9|3_9|,3_2|4_1|4_2|5_1|5_2|6_1|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_8|4_8|4_9|5_8|5_9|6_8|6_9|7_9|,6_2|7_1|7_2|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|9_4|9_5|9_6|8_6|,7_8|8_7|8_8|8_9|9_7|9_8|9_9|,
0.566997,0.953441,1.21076,0.527942,3.2114,0.555942,0.87115,0.979083,0.394768,1_1|1_2|2_1|2_2|2_3|3_1|1_3|,1_4|1_5|1_6|1_7|2_4|2_5|,1_8|1_9|2_8|2_9|3_9|2_7|2_6|3_8|4_8|,3_2|4_1|4_2|5_1|5_2|6_1|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,4_9|5_8|5_9|6_9|7_9|,6_2|7_1|7_2|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|9_4|9_5|9_6|,7_8|8_7|8_8|8_9|9_7|9_8|9_9|6_8|,
1.06548,0.373606,0.686478,0.591248,3.44999,0.366664,1.13885,0.616911,0.454599,1_1|1_2|1_3|2_1|2_2|2_3|3_1|,1_4|1_5|1_6|1_7|2_4|2_5|,1_8|1_9|2_6|2_7|2_8|2_9|3_8|3_9|,3_2|4_1|4_2|5_1|5_2|6_1|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,4_9|5_8|5_9|6_9|7_9|4_8|,6_2|7_1|7_2|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|9_4|9_5|9_6|,6_8|7_8|8_7|8_8|8_9|9_7|9_8|9_9|8_6|,
0.530058,1.31331,0.3935,0.529848,4.60524,0.683601,0.718434,0.777221,0.333225,1_1|1_2|2_1|2_2|3_1|,1_4|1_5|1_6|1_7|2_4|2_5|2_3|1_3|2_6|2_7|,1_8|1_9|2_8|2_9|3_9|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,4_8|4_9|5_8|5_9|6_9|7_9|3_8|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|9_4|9_5|9_6|,6_8|7_8|8_6|8_7|8_8|8_9|9_7|9_8|9_9|,
0.628113,2.62123,0.430612,0.757133,1.73617,0.965028,0.832719,1.2667,1.03266,1_1|1_2|2_1|2_2|3_1|,1_3|1_4|1_5|1_6|1_7|2_3|2_4|2_5|2_6|2_7|3_5|,1_8|1_9|2_8|2_9|3_9|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|7_2|3_3|3_4|,3_6|4_3|4_4|4_5|4_6|5_3|5_4|5_5|5_6|5_7|6_4|6_5|6_6|6_7|7_5|7_6|,3_8|4_8|4_9|5_8|5_9|6_9|7_9|3_7|4_7|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|9_4|9_5|9_6|8_6|7_3|6_3|7_4|,6_8|7_8|8_7|8_8|8_9|9_7|9_8|9_9|7_7|,
0.542547,1.86458,0.321551,1.19537,3.38136,0.754976,0.683473,0.632483,0.953613,1_1|1_2|2_1|2_2|3_1|2_3|,1_3|1_4|1_5|1_6|1_7|2_4|2_5|2_6|2_7|,1_8|1_9|2_8|2_9|3_9|,3_2|3_3|3_4|4_1|4_2|5_1|5_2|6_1|6_2|7_2|6_3|7_3|,3_6|4_3|4_4|4_5|4_6|5_3|5_4|5_5|5_6|5_7|6_4|6_5|6_6|6_7|7_5|7_6|7_7|7_4|3_7|4_7|3_5|,3_8|4_8|4_9|5_8|5_9|6_9|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|9_4|9_5|9_6|,6_8|7_8|8_7|8_8|8_9|9_7|9_8|9_9|,
0.809256,0.88667,0.998525,1.13941,2.62129,0.68804,0.860962,0.815473,0.715428,1_1|1_2|2_1|2_2|2_3|3_1|1_3|,1_4|1_5|1_6|2_4|2_5|2_6|,1_8|1_9|2_8|2_9|3_9|3_8|2_7|1_7|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|6_3|7_2|7_3|,3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_5|6_6|7_5|7_6|3_4|3_3|,4_8|4_9|5_8|5_9|6_9|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|9_4|9_5|9_6|8_7|7_4|6_4|7_7|,6_8|7_8|8_8|8_9|9_7|9_8|9_9|6_7|,
