new_car_num, all_car_num, compuation_time
0,0,0.0026612
11,19,0.317159
23,41,0.856422
16,35,0.651724
11,41,0.572318
14,50,0.567704
20,66,0.981359
10,53,0.819136
15,61,0.713155
14,59,0.727555
17,57,0.561335
9,34,0.433591
14,30,0.456724
13,29,0.515342
18,37,0.65322
14,39,0.475531
16,52,0.594728
14,55,0.60793
11,49,0.440169
16,60,0.62806
16,56,0.67936
16,48,0.552845
9,42,0.457792
13,51,0.587079
15,36,0.61205
8,45,0.716675
14,47,0.725447
14,48,0.666454
16,62,0.669966
10,58,0.619115
18,52,0.750621
12,67,0.924442
25,69,0.960321
12,50,0.450814
21,52,0.611097
11,50,0.742188
10,37,0.484622
16,35,0.403717
18,50,0.604613
13,53,0.634825
21,66,0.794166
10,41,0.45612
7,52,0.524314
15,40,0.455397
10,34,0.422338
12,43,0.45628
22,52,0.681419
12,46,0.688509
13,52,0.834974
12,32,0.449649
15,46,0.591922
12,32,0.370229
14,39,0.536094
19,55,0.710463
12,60,0.697398
8,59,0.539245
15,36,0.491223
18,43,0.634342
9,33,0.481704
8,40,0.475341
16,51,0.565968
19,57,0.566426
14,52,0.666977
13,55,0.645047
16,47,0.52814
15,48,0.610741
10,46,0.556472
18,48,0.430443
15,44,0.552975
10,29,0.503313
15,48,0.639007
15,53,0.586876
19,48,0.531385
9,42,0.407714
10,40,0.431395
11,30,0.277784
10,26,0.302742
18,35,0.517423
18,40,0.484573
12,24,0.209331
16,40,0.453
10,37,0.468555
15,49,0.604824
18,59,0.735296
16,63,0.689462
22,54,0.585824
12,51,0.500643
19,57,0.648046
14,54,0.582585
18,64,1.03044
19,59,0.651079
15,37,0.518204
18,39,0.456162
15,40,0.411808
14,38,0.40351
21,48,0.556511
18,52,0.538629
14,47,0.565181
14,50,0.622122
17,64,0.622203
12,46,0.621782
17,63,0.78631
17,60,0.846065
9,60,0.887992
16,52,0.641412
15,49,0.563083
14,41,0.537916
13,40,0.562637
14,43,0.560884
15,48,0.648345
14,44,0.582176
9,37,0.535927
10,48,0.533752
14,53,0.562909
15,50,0.622048
13,50,0.530687
13,42,0.57425
15,28,0.333088
11,24,0.183555
14,40,0.550994
18,46,0.567008
15,49,0.607584
18,62,0.839978
16,56,0.808232
10,60,0.681836
19,59,0.758722
12,51,0.535553
17,44,0.3552
15,37,0.395813
14,47,0.452099
13,50,0.477085
7,43,0.342909
18,63,0.71191
13,52,0.622394
15,44,0.607046
11,56,0.550361
16,47,0.627296
15,42,0.598363
11,34,0.502012
18,38,0.458213
15,39,0.398853
17,55,0.589457
19,52,0.507649
12,36,0.420681
8,33,0.346837
16,36,0.425907
15,33,0.354978
19,45,0.539994
15,46,0.78623
19,55,0.740584
16,65,0.791369
15,73,0.717289
15,56,0.612976
20,42,0.550366
15,31,0.427902
12,36,0.37281
15,44,0.402471
16,54,0.59534
16,46,0.567118
16,32,0.48963
15,45,0.57468
22,60,0.612705
13,63,0.636309
14,70,0.636622
14,58,0.516719
12,37,0.381339
13,42,0.612484
15,50,0.50227
21,51,0.676553
10,60,0.751662
12,55,0.774367
15,48,0.589142
11,49,0.611731
11,56,0.562052
12,50,0.593875
17,52,0.599218
15,53,0.557554
13,46,0.605678
20,48,0.560948
12,44,0.530523
14,54,0.719883
17,62,0.855102
16,64,0.737998
14,54,0.527014
16,42,0.470988
14,44,0.46877
14,46,0.529803
17,54,0.545484
20,66,0.817271
14,59,0.738437
16,47,0.472299
15,38,0.516068
12,56,0.657345
15,63,0.778645
9,44,0.700003
18,43,0.383726
15,32,0.348357
16,55,0.568849
17,50,0.557714
9,53,0.556854
17,46,0.639836
12,40,0.497601
13,40,0.423563
5,20,0.256532
13,28,0.403216
16,37,0.417265
12,44,0.504213
12,46,0.535312
17,40,0.461389
14,43,0.403687
13,43,0.334384
19,65,0.547636
18,46,0.396259
17,33,0.256148
15,44,0.531393
17,58,0.750293
20,56,0.590583
16,54,0.602708
13,58,0.597401
13,45,0.431796
13,52,0.392778
20,44,0.507829
11,45,0.381965
16,46,0.413329
12,44,0.390123
15,58,0.496095
22,59,0.742189
15,33,0.391651
18,52,0.612569
17,62,0.564332
13,60,0.608701
15,47,0.517982
20,57,0.760536
11,45,0.593406
18,51,0.775596
16,48,0.65019
15,49,0.604691
14,36,0.457885
10,40,0.443285
11,28,0.259213
17,31,0.287416
9,32,0.437242
5,38,0.408155
15,42,0.442262
18,49,0.523623
19,35,0.514411
16,56,0.711645
17,78,0.844847
13,69,0.658734
12,68,0.628316
15,40,0.580438
12,41,0.621273
10,39,0.455951
15,43,0.520451
11,56,0.788777
13,63,0.750355
20,53,0.65092
15,58,0.700855
13,70,0.712114
17,57,0.594489
12,40,0.543468
12,50,0.561212
22,41,0.582348
15,39,0.656374
14,42,0.639046
16,47,0.492273
17,64,0.66646
13,70,0.554838
11,35,0.34269
16,37,0.443164
13,33,0.38291
10,37,0.512048
16,47,0.532561
11,48,0.478862
12,42,0.375349
14,31,0.329216
11,33,0.397395
23,59,0.774148
10,59,0.657192
12,49,0.500138
14,50,0.573337
18,43,0.486069
22,53,0.793711
19,68,0.858385
8,51,0.604978
14,64,0.865027
11,56,0.520177
9,27,0.455732
19,50,0.531171
17,52,0.524656
14,54,0.498166
17,38,0.479628
15,34,0.293247
14,34,0.374782
14,38,0.493733
11,35,0.338277
16,52,0.615076
18,49,0.49277
11,49,0.447838
13,41,0.40301
10,27,0.381246
16,47,0.491351
12,41,0.518457
20,52,0.582037
13,57,0.719257
10,58,0.583065
12,29,0.455612
16,53,0.528802
14,42,0.541168
12,41,0.338511
15,50,0.398392
18,60,0.591247
14,38,0.573965
14,35,0.467824
14,45,0.679433
22,61,0.77534
19,60,0.822593
15,58,0.692422
12,39,0.73028
15,30,0.450536
13,34,0.429926
10,44,0.537444
18,50,0.602299
13,48,0.518698
13,52,0.545513
11,34,0.387866
8,26,0.309806
16,39,0.359773
16,32,0.309135
16,28,0.325317
10,25,0.334114
15,36,0.479944
18,49,0.563164
14,51,0.564697
19,52,0.765572
23,51,0.550376
18,41,0.502922
14,35,0.491898
8,35,0.464647
13,33,0.525393
12,38,0.376061
16,42,0.515905
13,34,0.419123
14,41,0.54651
17,50,0.719057
17,49,0.842167
11,43,0.593861
7,51,0.462687
13,51,0.563959
15,47,0.622703
9,45,0.541211
17,41,0.516562
8,23,0.268769
17,39,0.484857
12,35,0.526287
12,24,0.431654
16,35,0.469691
10,33,0.546922
18,42,0.670964
13,28,0.306075
14,46,0.676995
16,50,0.593023
18,64,0.815309
18,78,0.964715
16,66,0.640072
13,41,0.371314
16,50,0.542529
16,38,0.423142
13,47,0.504532
8,36,0.3384
15,34,0.393056
24,48,0.673789
13,53,0.780529
19,67,0.856172
14,53,0.714888
13,56,0.7157
12,45,0.521684
16,53,0.536947
17,51,0.525326
15,64,0.786108
13,54,0.707015
12,46,0.668188
15,50,0.552843
14,45,0.46992
14,37,0.467626
11,31,0.411469
15,43,0.416691
18,44,0.498717
16,50,0.738523
20,59,0.826097
13,56,0.626586
17,56,0.758518
11,61,0.642761
12,51,0.674762
14,37,0.324996
10,28,0.338507
17,54,0.696237
17,61,0.648408
7,49,0.570416
18,62,0.551306
14,40,0.402999
17,47,0.501055
18,46,0.456784
13,49,0.521522
15,52,0.585559
12,44,0.480139
19,53,0.514069
15,52,0.660942
8,59,0.617428
17,66,0.687348
18,50,0.616525
10,46,0.522488
15,49,0.598965
10,39,0.52435
15,57,0.713083
10,55,0.741854
15,62,0.641543
16,59,0.694979
16,58,0.568405
11,48,0.513524
14,54,0.586183
14,55,0.495954
17,48,0.46937
18,55,0.547927
22,60,0.711094
18,72,0.912801
13,74,0.840312
22,77,0.831195
14,60,0.680122
8,33,0.344348
14,38,0.603227
19,49,0.741623
14,42,0.579569
11,52,0.522768
11,43,0.488434
19,59,0.540222
12,34,0.750458
16,45,0.602623
16,56,0.724846
19,81,0.838614
9,62,0.550902
23,59,0.726494
14,44,0.4478
12,44,0.45858
10,48,0.586255
19,60,0.713677
19,68,0.90554
12,57,0.694928
13,61,0.676525
10,50,0.552372
19,65,0.803739
7,46,0.49079
16,41,0.312096
17,40,0.502672
14,44,0.615485
23,63,0.789207
19,69,0.853443
8,65,0.754228
15,59,0.718095
16,53,0.515797
15,48,0.548978
16,45,0.4939
10,41,0.573808
13,38,0.567465
10,23,0.173889
19,47,0.595186
17,52,0.484077
16,48,0.610038
13,49,0.49277
16,68,0.741362
12,44,0.449725
16,49,0.451588
14,45,0.500603
17,37,0.469829
10,34,0.375189
17,54,0.700872
14,38,0.495892
14,37,0.469804
17,49,0.628259
13,54,0.702488
19,59,0.741861
17,59,0.73341
9,44,0.479093
11,49,0.540313
13,32,0.428734
18,58,0.594373
14,53,0.586584
17,54,0.514513
15,60,0.535896
17,65,0.782551
15,69,0.573137
10,42,0.415908
14,55,0.579611
22,67,0.818936
9,42,0.49908
14,41,0.403067
13,33,0.410476
20,43,0.587789
13,43,0.583407
15,59,0.780633
19,61,0.734075
21,70,0.843043
11,58,0.641241
15,50,0.560198
19,53,0.608456
13,48,0.606586
13,42,0.528618
14,38,0.48897
13,37,0.565935
17,45,0.595234
17,35,0.505011
11,43,0.47781
13,43,0.487438
12,36,0.466442
14,45,0.601328
19,63,0.70436
18,63,0.670415
17,69,0.856803
13,59,0.76166
15,40,0.516321
22,54,0.643129
13,51,0.600436
13,56,0.646332
15,48,0.65101
11,40,0.516804
10,30,0.426066
16,49,0.455517
16,47,0.351174
17,45,0.431451
14,45,0.614149
17,55,0.562551
14,45,0.590859
6,44,0.615128
18,63,0.648328
15,51,0.551156
18,61,0.672537
12,42,0.557906
