new_car_num, all_car_num, compuation_time
0,0,0.0010745
0,0,0.0008883
23,23,0.379537
30,35,0.668773
36,45,0.695505
26,41,0.519523
37,55,0.663875
39,58,0.901943
30,47,0.684449
30,47,0.843511
33,47,0.683168
31,46,0.677576
37,52,0.836974
31,53,0.986006
37,58,1.39265
37,54,1.10469
28,52,1.39728
39,59,1.09806
34,58,1.11709
29,48,0.738349
30,49,0.992808
29,47,0.904668
27,54,1.29684
29,46,1.47818
27,46,0.757105
27,43,1.03607
27,37,0.499964
27,39,0.625063
32,46,0.663152
18,31,0.597513
28,40,0.698352
26,36,0.612014
24,37,0.488451
30,41,0.530959
26,38,0.472727
24,38,0.603513
22,30,0.486148
34,45,0.619644
20,29,0.474922
22,37,0.524438
21,39,0.53635
21,31,0.401846
33,46,0.50766
28,40,0.538535
32,47,0.798983
24,35,0.485803
24,37,0.658474
31,54,0.762413
23,40,0.546123
23,46,0.738693
28,38,0.707031
27,39,0.529476
16,31,0.38165
19,31,0.287714
22,34,0.391081
27,35,0.410711
24,38,0.457891
26,36,0.510259
22,26,0.346323
25,30,0.355156
27,32,0.491296
27,43,0.602813
21,38,0.468905
23,37,0.566929
17,35,0.511183
26,35,0.545982
19,24,0.281458
25,28,0.351178
26,30,0.43031
25,31,0.396614
20,34,0.395453
8,25,0.229564
21,31,0.354233
22,29,0.355353
32,40,0.484383
21,34,0.304113
17,29,0.36142
23,42,0.52288
15,28,0.387296
22,38,0.500901
29,43,0.600909
18,36,0.456207
26,37,0.451416
12,24,0.27618
20,34,0.458906
31,40,0.571359
36,49,0.677548
18,30,0.572315
9,29,0.438943
17,31,0.454627
15,23,0.344587
19,24,0.267449
17,33,0.474168
15,29,0.355382
38,48,0.682861
23,30,0.425826
16,35,0.447382
27,39,0.463857
16,23,0.278027
25,31,0.388074
28,43,0.637286
19,37,0.410544
22,33,0.491908
23,32,0.431179
16,23,0.306974
20,26,0.278191
16,28,0.479232
24,34,0.514197
21,36,0.395015
21,33,0.470144
33,44,0.465383
22,38,0.504542
15,34,0.563295
10,21,0.212461
16,26,0.381053
22,28,0.379788
20,31,0.473357
11,21,0.446568
27,38,0.680415
22,27,0.379159
19,32,0.386199
16,29,0.40602
12,23,0.259346
15,21,0.240978
26,33,0.443339
21,30,0.415069
22,28,0.433085
27,40,0.599762
19,38,0.503341
13,26,0.39264
19,29,0.3545
17,25,0.418312
20,29,0.441659
23,32,0.48196
22,40,0.67658
19,31,0.375049
20,30,0.380944
18,28,0.398253
16,27,0.458765
24,37,0.502668
11,22,0.215251
15,20,0.258099
24,29,0.387953
16,21,0.284351
20,29,0.403827
13,31,0.356283
18,31,0.457393
13,26,0.274029
12,26,0.338692
21,30,0.466077
23,35,0.531145
19,29,0.33777
35,44,0.572989
7,24,0.266166
12,21,0.302398
19,31,0.528721
22,32,0.468137
19,25,0.347535
18,31,0.452506
27,40,0.523733
27,39,0.457333
17,24,0.257936
19,27,0.456533
13,19,0.353576
24,36,0.701536
19,27,0.397673
15,19,0.364304
28,39,0.629137
23,42,0.611817
22,34,0.473594
20,34,0.490377
26,35,0.403992
22,41,0.434566
16,31,0.446872
21,28,0.458768
11,27,0.431589
9,16,0.193815
18,24,0.266086
15,20,0.393547
24,36,0.440298
22,35,0.428808
25,36,0.436878
21,33,0.424228
20,34,0.355581
13,23,0.288018
20,31,0.405277
17,24,0.279023
27,37,0.448667
24,41,0.453811
27,41,0.581386
22,37,0.528374
16,30,0.344939
18,33,0.373325
16,29,0.391351
19,24,0.225172
14,25,0.319409
25,38,0.466312
23,41,0.429537
9,24,0.273497
13,23,0.399712
23,32,0.388679
27,40,0.490735
23,30,0.384916
22,34,0.39423
28,43,0.477333
16,33,0.462489
27,42,0.500054
21,39,0.511224
24,38,0.468071
14,27,0.349682
29,51,0.595659
21,34,0.448954
21,30,0.440945
17,30,0.541246
21,33,0.420474
32,42,0.640027
24,32,0.480058
19,33,0.464004
14,29,0.409927
28,39,0.467591
17,25,0.365032
19,38,0.556677
17,26,0.374307
23,38,0.473151
