new_car_num, all_car_num, compuation_time
0,0,0.0012308
0,0,0.001645
23,32,0.842305
30,49,1.27565
36,65,1.35934
26,79,1.13206
37,93,1.08739
39,111,1.32555
30,106,1.24915
30,112,1.33342
33,96,1.27121
31,79,1.78316
37,110,1.33644
30,99,1.49681
38,104,1.73094
37,89,1.60206
28,104,2.00441
39,116,1.9076
33,112,2.27071
29,113,1.79922
31,117,3.02754
32,132,2.53935
22,101,1.73721
31,95,1.75346
33,123,1.82076
30,90,1.58655
30,103,2.48765
23,93,1.48663
28,103,1.36533
17,82,0.932309
38,128,2.45972
31,140,2.15898
25,119,1.42523
23,110,2.26224
25,133,1.67458
14,104,1.16095
16,72,1.04665
27,114,2.41186
27,115,1.94179
24,128,2.90207
26,110,1.68498
24,100,2.23712
27,123,2.60586
20,84,1.8287
23,114,1.39355
25,112,1.30521
27,103,2.40057
14,114,1.68687
25,106,1.70302
37,123,2.35182
17,103,2.02816
15,109,1.94884
23,105,1.69819
30,123,1.70118
23,113,1.68096
20,117,1.43141
32,132,2.73236
21,100,2.13901
13,98,1.3738
26,114,2.04195
35,117,2.21289
13,89,1.86242
29,121,1.66956
28,128,1.89734
20,104,2.2478
24,124,1.9618
18,88,1.23786
16,108,1.46375
30,120,1.74295
20,81,0.960749
26,96,1.4635
18,94,1.77
19,117,2.04606
15,87,1.16737
16,99,1.76334
27,117,1.76286
23,98,2.09893
22,103,1.82057
12,98,1.25483
29,96,0.979776
21,106,1.26664
16,96,1.72777
12,104,1.51719
16,99,1.18147
27,99,1.61735
23,89,1.64774
28,141,2.33814
18,137,2.1273
24,112,2.374
25,122,2.33196
21,89,1.8991
21,101,2.58423
26,106,2.11475
25,90,1.3307
15,112,1.66453
22,115,2.12998
28,129,2.50863
28,105,2.07986
18,94,1.42268
35,133,3.28866
25,115,2.69961
12,104,2.45697
18,100,1.74895
26,119,1.73991
25,113,1.98273
24,91,1.40712
21,96,1.52844
16,86,0.996672
16,106,0.932798
19,88,1.48836
26,98,1.41452
23,114,1.96027
22,116,1.88898
26,111,2.12793
24,114,2.45082
18,98,1.84026
18,103,1.6535
13,104,1.72103
23,113,1.80597
26,128,3.1129
15,102,2.41384
22,114,2.34892
25,104,1.69237
23,94,1.37405
18,120,2.74423
14,93,1.9762
24,101,1.31907
32,132,2.08807
24,107,1.98182
13,98,1.39882
17,81,1.1954
27,108,1.50161
17,116,1.77677
17,103,1.72451
26,123,1.64101
30,119,1.76578
14,136,2.5043
29,123,1.76475
22,116,2.55921
21,117,1.72907
8,89,1.37249
27,102,1.43027
25,128,1.79131
14,96,1.77171
31,117,1.86958
16,110,2.11635
17,107,1.37737
37,94,1.26037
24,107,1.56128
19,111,1.82717
15,94,1.0023
26,123,1.85445
20,98,1.7506
15,91,1.55719
23,127,1.6224
22,114,1.6629
23,99,1.59888
28,117,2.2137
25,116,2.21907
16,123,2.07568
26,98,1.83607
17,122,1.73816
16,132,1.51379
19,86,1.4175
23,91,1.29933
21,102,1.66397
28,98,1.51528
25,103,2.44729
21,114,1.83794
17,108,1.39621
15,99,1.23244
20,104,1.8236
23,108,1.46422
20,99,1.39724
27,120,2.41121
17,96,1.61874
33,99,1.89971
18,106,1.62708
10,107,2.17343
19,76,1.098
31,109,1.90136
14,84,1.4836
15,91,1.1947
22,113,1.63798
19,95,1.61835
31,123,1.72814
21,99,1.67369
19,116,1.12686
10,94,0.97058
18,86,0.955597
18,106,1.10917
11,67,0.751322
17,86,0.847708
28,128,1.71317
19,98,1.31607
17,123,1.59925
21,104,1.03763
20,88,0.787013
16,95,1.16481
11,89,1.25224
18,77,1.12507
21,83,1.22238
26,130,1.97948
24,99,1.81225
29,110,1.8409
11,93,1.00867
17,84,1.41965
23,107,1.66567
15,74,0.944384
11,66,0.902544
19,113,1.38757
15,100,1.15801
22,100,0.951951
23,84,1.52867
33,119,2.08489
28,127,2.23555
23,101,2.06251
19,90,1.60745
21,126,1.91362
30,117,2.05219
27,109,2.36222
15,107,2.33494
19,83,1.34613
20,130,1.97439
