0_0_computation,0_1_computation,0_2_computation,1_0_computation,1_1_computation,1_2_computation,2_0_computation,2_1_computation,2_2_computation,0_0_MEC_range,0_1_MEC_range,0_2_MEC_range,1_0_MEC_range,1_1_MEC_range,1_2_MEC_range,2_0_MEC_range,2_1_MEC_range,2_2_MEC_range,
0.0012337,0.000312,0.0005191,0.0009025,0.0006564,0.0025984,0.0016043,0.0007092,0.0008479,1_1|1_2|1_3|2_1|2_2|2_3|3_1|3_2|3_3|,1_4|1_5|1_6|2_4|2_5|2_6|3_4|3_5|3_6|,1_7|1_8|1_9|2_7|2_8|2_9|3_7|3_8|3_9|,4_1|4_2|4_3|5_1|5_2|5_3|6_1|6_2|6_3|,4_4|4_5|4_6|5_4|5_5|5_6|6_4|6_5|6_6|,4_7|4_8|4_9|5_7|5_8|5_9|6_7|6_8|6_9|,7_1|7_2|7_3|8_1|8_2|8_3|9_1|9_2|9_3|,7_4|7_5|7_6|8_4|8_5|8_6|9_4|9_5|9_6|,7_7|7_8|7_9|8_7|8_8|8_9|9_7|9_8|9_9|,
0.0010179,0.0020547,0.0013574,0.0010046,0.0009461,0.0016037,0.0012975,0.0008706,0.0007729,1_1|1_2|1_3|2_1|2_2|2_3|3_1|3_2|3_3|,1_4|1_5|1_6|2_4|2_5|2_6|3_4|3_5|3_6|,1_7|1_8|1_9|2_7|2_8|2_9|3_7|3_8|3_9|,4_1|4_2|4_3|5_1|5_2|5_3|6_1|6_2|6_3|,4_4|4_5|4_6|5_4|5_5|5_6|6_4|6_5|6_6|,4_7|4_8|4_9|5_7|5_8|5_9|6_7|6_8|6_9|,7_1|7_2|7_3|8_1|8_2|8_3|9_1|9_2|9_3|,7_4|7_5|7_6|8_4|8_5|8_6|9_4|9_5|9_6|,7_7|7_8|7_9|8_7|8_8|8_9|9_7|9_8|9_9|,
0.0696727,0.12309,0.221949,0.117544,0.000808,0.0891461,0.196997,0.0453323,0.0579939,1_1|1_2|1_3|2_1|2_2|3_1|3_2|4_2|,1_4|1_5|1_6|2_4|2_5|2_6|2_3|2_7|1_7|,1_8|1_9|2_8|2_9|3_8|3_9|4_8|,4_1|5_1|5_2|6_1|6_2|7_2|,4_4|4_5|4_6|5_4|5_5|5_6|6_4|6_5|6_6|3_4|3_5|3_6|3_3|7_4|7_5|7_6|3_7|4_7|5_7|6_7|7_7|4_3|5_3|6_3|7_3|,4_9|5_8|5_9|6_8|6_9|7_8|,7_1|8_1|8_2|9_1|9_2|9_3|,8_4|8_5|8_6|9_4|9_5|9_6|8_7|8_3|,7_9|8_8|8_9|9_7|9_8|9_9|,
0.22567,0.363168,0.410949,0.317266,0.0009791,0.179082,0.316899,0.207588,0.26453,1_1|1_2|1_3|2_1|2_2|3_1|3_2|4_2|,1_4|1_5|1_6|1_7|2_3|2_4|2_5|2_6|,1_8|1_9|2_8|2_9|3_8|3_9|2_7|,4_1|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,4_9|5_8|5_9|6_8|6_9|7_8|4_8|,7_1|8_1|8_2|9_1|9_2|9_3|8_3|8_4|,8_5|8_6|8_7|9_4|9_5|9_6|,7_9|8_8|8_9|9_7|9_8|9_9|,
0.227805,0.409062,0.460121,0.443636,0.0010093,0.274645,0.300265,0.31668,0.175891,1_1|1_2|1_3|2_1|2_2|3_1|3_2|,1_4|1_5|1_6|1_7|2_3|2_4|2_5|2_6|,1_8|1_9|2_7|2_8|2_9|3_9|,4_1|5_1|5_2|6_1|6_2|7_2|4_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,4_8|4_9|5_8|5_9|6_8|6_9|7_8|3_8|,7_1|8_1|8_2|9_1|9_2|,8_5|8_6|8_7|9_4|9_5|9_6|8_4|8_3|9_3|,7_9|8_8|8_9|9_7|9_8|9_9|,
0.251748,0.261105,0.313219,0.196323,0.000836,0.475931,0.252447,0.204536,0.528917,1_1|1_2|1_3|2_1|2_2|3_1|,1_4|1_5|1_6|1_7|2_3|2_4|2_5|2_6|2_7|,1_8|1_9|2_8|2_9|3_9|,4_1|4_2|5_1|5_2|6_1|3_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_8|4_8|4_9|5_8|5_9|6_8|6_9|7_8|,7_1|8_1|8_2|9_1|9_2|7_2|6_2|8_3|8_4|,8_5|8_6|8_7|9_3|9_4|9_5|9_6|,7_9|8_8|8_9|9_7|9_8|9_9|,
0.348635,0.488109,0.32219,0.172156,0.0010208,0.345225,0.257114,0.363242,0.543121,1_1|1_2|1_3|2_1|2_2|3_1|,1_4|1_5|1_6|1_7|2_3|2_4|2_5|2_6|2_7|,1_8|1_9|2_8|2_9|3_9|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_8|4_8|4_9|5_8|5_9|6_8|6_9|7_8|,7_1|8_1|8_2|9_1|9_2|,8_5|8_6|8_7|9_3|9_4|9_5|9_6|8_4|8_3|,7_9|8_8|8_9|9_7|9_8|9_9|,
0.498454,0.309077,0.45423,0.413048,0.0010945,0.490457,0.698554,0.281806,0.620372,1_1|1_2|1_3|2_1|2_2|3_1|,1_4|1_5|1_6|1_7|2_3|2_4|2_5|2_6|2_7|,1_8|1_9|2_8|2_9|3_9|3_8|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,4_8|4_9|5_8|5_9|6_8|6_9|,7_1|8_1|8_2|9_1|9_2|7_2|8_3|8_4|,8_5|9_3|9_4|9_5|9_6|,7_9|8_8|8_9|9_7|9_8|9_9|7_8|8_7|8_6|,
0.486705,1.17414,0.313292,0.581498,2.42055,0.395922,0.28088,0.526401,0.481556,1_1|1_2|2_1|2_2|3_1|,1_4|1_5|1_6|1_7|2_3|2_4|2_5|2_6|2_7|1_3|,1_8|1_9|2_8|2_9|3_9|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,4_8|4_9|5_8|5_9|6_8|6_9|3_8|7_8|,7_1|8_1|8_2|8_3|9_1|9_2|,8_5|9_3|9_4|9_5|9_6|8_4|8_6|,7_9|8_7|8_8|8_9|9_7|9_8|9_9|,
0.320873,0.379275,0.261461,0.284939,2.04719,0.279867,0.325451,0.286562,0.510258,1_1|1_2|2_1|2_2|3_1|2_3|2_4|,1_3|1_4|1_5|1_6|1_7|2_5|2_6|,1_8|1_9|2_8|2_9|3_9|2_7|,3_2|4_1|4_2|5_1|5_2|6_1|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_8|4_8|4_9|5_8|5_9|6_8|6_9|7_8|,7_1|8_1|8_2|8_3|9_1|9_2|8_4|7_2|6_2|,8_5|8_6|9_3|9_4|9_5|9_6|,7_9|8_7|8_8|8_9|9_7|9_8|9_9|,
