new_car_num, all_car_num, compuation_time
0,0,0.0011667
0,0,0.0009273
23,23,0.386018
30,53,0.754879
36,89,1.05277
26,115,1.45297
37,146,1.48475
39,158,2.04837
30,165,1.89146
30,179,1.63555
33,199,2.34152
31,193,2.67433
37,210,2.3458
30,207,2.81712
37,202,3.8337
37,212,4.24073
29,218,5.22211
38,226,4.47284
34,219,3.90926
28,224,3.90144
30,233,4.18175
33,238,3.06841
19,213,2.53798
28,218,2.20371
30,223,2.16165
27,240,2.26099
30,255,2.29057
28,262,2.55182
35,267,2.52856
17,248,2.04082
31,248,2.26959
33,248,2.2218
18,226,2.13456
28,246,2.58689
26,251,2.89164
30,247,2.87398
30,258,4.00162
31,266,4.39407
20,245,4.46968
25,236,3.96024
32,244,3.59165
24,242,3.25467
24,242,3.11707
20,255,3.56278
30,250,2.96002
18,244,3.18308
25,243,2.59903
30,262,2.83319
23,269,3.11309
29,267,3.35943
19,260,2.71604
24,270,2.85323
27,265,3.12009
20,277,2.87223
27,272,2.40895
27,270,3.04082
31,299,3.16658
30,290,3.29687
20,272,3.48458
26,263,3.25964
21,256,3.02036
21,258,2.50214
27,256,2.83615
31,251,3.01719
22,250,3.36457
26,238,3.09647
21,249,3.29231
22,239,2.56051
21,233,2.59381
21,239,2.77928
22,227,3.09514
26,228,3.05481
20,255,4.03436
21,252,3.74266
22,246,3.4097
22,270,3.67285
25,272,3.48244
17,263,3.03811
23,274,2.87534
32,267,3.06468
14,261,3.09344
21,253,2.80637
35,250,3.16597
18,239,2.81415
20,230,2.78581
19,237,2.68355
29,269,2.81168
24,278,2.67797
18,270,2.91732
24,280,3.2412
19,262,3.02252
20,260,2.75539
25,289,2.98906
21,274,4.24674
30,285,4.09187
12,258,3.3809
19,250,3.068
26,264,3.50437
14,269,3.07741
23,258,2.98675
24,254,2.82973
17,247,2.79191
26,273,2.47365
21,276,2.30598
32,265,2.77573
30,266,2.65557
20,274,2.65805
15,266,2.5163
15,260,2.5924
19,243,2.05922
20,255,2.54721
28,259,2.15148
17,250,2.08758
17,252,2.46978
15,254,2.19435
22,253,2.19905
30,265,2.59814
20,267,2.618
23,269,2.59444
28,261,2.82117
14,263,2.56607
29,250,2.71157
12,228,2.45476
18,222,1.9725
19,243,2.15208
14,227,2.21737
19,243,2.30394
21,248,2.16397
23,256,2.45364
21,247,2.35882
21,242,2.60658
19,233,2.31289
14,233,2.48897
27,260,2.71495
17,263,2.71113
22,258,2.21182
17,274,2.45156
18,266,2.01211
20,272,2.1055
20,281,2.30466
27,282,2.24514
22,286,2.66248
19,275,2.69154
12,277,2.3665
19,282,2.38134
20,286,2.27504
24,273,2.53969
20,257,2.8319
27,272,3.31509
33,286,3.24816
16,292,3.20723
27,281,2.88484
22,286,2.92628
10,255,2.47391
29,281,2.98845
22,282,2.89599
23,282,3.14264
29,292,3.0045
28,284,2.92859
21,274,2.89705
19,276,3.03076
19,264,2.3144
21,276,2.41158
21,267,2.61557
34,288,3.22939
20,284,3.24511
27,280,3.3577
22,282,3.27706
26,271,3.38488
15,265,3.5699
20,260,2.89218
20,264,2.97337
18,269,3.05652
24,284,3.24049
29,267,3.09952
21,263,2.91656
22,269,2.73693
26,274,2.94282
14,267,3.23229
20,271,3.21773
21,287,3.059
30,272,3.08416
27,281,2.6496
21,263,2.53007
25,267,2.731
21,259,2.37618
26,266,2.73222
24,276,2.7079
26,276,2.85175
20,265,2.50909
19,252,2.69298
20,240,2.87486
19,258,2.68789
17,256,2.9999
20,250,2.27628
17,253,2.2812
23,240,1.95898
20,255,2.447
19,259,2.77482
19,254,2.53133
18,252,2.4479
10,253,2.17372
29,264,2.1084
28,285,2.37745
26,278,2.67828
22,291,2.78497
16,279,2.90296
22,272,3.03001
23,278,2.98518
14,272,2.70771
28,276,2.62735
18,266,3.02512
19,248,2.49165
29,260,2.85333
22,290,2.86446
31,292,3.18528
27,284,3.17199
16,264,3.0764
31,284,3.12475
13,267,2.86448
25,251,2.67814
26,266,2.49555
11,250,2.39491
24,259,2.96023
