car_id, path, estimated_travel_timie
car_0,LL
car_1,RS
car_10,LS
car_11,R
car_12,L
car_13,SLS
car_14,SLR
car_15,SR
car_16,L
car_17,LL
car_18,RR
car_19,SR
car_2,LS
car_20,LS
car_21,L
car_22,SRS
car_23,SRL
car_24,LS
car_25,SRL
car_26,RR
car_27,SS
car_28,SLS
car_29,LS
car_3,LS
car_30,SRS
car_31,RR
car_32,RR
car_33,SLR
car_34,SLR
car_35,SRL
car_36,SS
car_37,SRL
car_38,LL
car_39,SL
car_4,SRS
car_40,SS
car_5,SL
car_6,RR
car_7,RS
car_8,SL
car_9,SLS
car_17,LL
car_20,LS
car_24,LS
car_25,SRL
car_26,RR
car_28,SLS
car_29,LS
car_30,SRS
car_31,RR
car_32,RR
car_34,SLR
car_35,SRL
car_37,SRL
car_4,SRS
car_40,SS
car_41,R
car_42,SR
car_43,SL
car_44,SRL
car_45,SS
car_46,SLR
car_47,SRL
car_48,SRS
car_49,LL
car_50,LS
car_51,SLS
car_52,L
car_53,RR
car_54,L
car_55,SLS
car_56,SLS
car_57,SS
car_58,SS
car_59,LL
car_60,SLR
car_61,SRS
car_62,RR
car_63,SR
car_64,SRS
car_65,SLR
car_66,LS
car_67,SRL
car_68,RS
car_7,RS
car_9,SLS
car_10,S
car_15,R
car_19,R
car_25,SRL
car_28,SLS
car_29,LS
car_30,SRS
car_32,RR
car_34,SLR
car_37,SRL
car_40,SS
car_42,SR
car_44,SRL
car_46,SLR
car_47,SRL
car_48,SRS
car_50,LS
car_51,SLS
car_55,SLS
car_6,R
car_63,SR
car_66,LS
car_69,LL
car_70,SRS
car_71,RR
car_72,LL
car_73,SRL
car_74,SLR
car_75,SLR
car_76,SRL
car_77,LL
car_78,SR
car_79,R
car_80,SRS
car_81,SRL
car_82,SL
car_83,SLS
car_84,LL
car_85,LS
car_86,RS
car_87,SLS
car_88,RR
car_89,SLR
car_9,LS
car_90,R
car_91,RR
car_92,RS
car_93,SS
car_100,SS
car_101,SR
car_102,LL
car_103,SRS
car_104,RR
car_105,SLR
car_106,SLR
car_107,SLR
car_108,L
car_109,SRS
car_110,SS
car_111,SS
car_112,SL
car_113,L
car_13,LS
car_14,LR
car_22,RS
car_23,RL
car_25,RL
car_28,LS
car_31,R
car_34,LR
car_36,S
car_37,RL
car_39,L
car_42,R
car_43,L
car_49,LL
car_53,RR
car_56,SLS
car_58,SS
car_62,RR
car_64,SRS
car_67,SRL
car_70,SRS
car_74,SLR
car_76,SRL
car_81,SRL
car_83,SLS
car_87,SLS
car_88,RR
car_91,RR
car_94,R
car_95,LS
car_96,SLS
car_97,SLS
car_98,SRL
car_99,L
car_103,SRS
car_106,SLR
car_108,L
car_110,SS
car_113,L
car_114,LS
car_115,RR
car_116,SR
car_117,SR
car_118,SR
car_119,SLR
car_120,R
car_121,RS
car_122,LL
car_123,R
car_124,SL
car_125,SRS
car_126,L
car_127,SR
car_128,SS
car_129,SR
car_130,RS
car_131,RS
car_132,SLS
car_133,SLS
car_134,SS
car_135,SS
car_136,SR
car_137,SS
car_138,RR
car_139,SRL
car_25,RL
car_28,LS
car_34,LR
car_36,S
car_37,RL
car_40,S
car_53,R
car_67,RL
car_72,LL
car_83,SLS
car_85,LS
car_86,RS
car_88,RR
car_91,RR
car_94,R
car_97,SLS
car_99,L
car_103,SRS
car_106,SLR
car_107,SLR
car_109,SRS
car_110,SS
car_113,L
car_114,LS
car_116,SR
car_118,SR
car_121,RS
car_134,SS
car_136,SR
car_138,RR
car_140,LS
car_141,SL
car_142,SRS
car_143,R
car_144,SR
car_145,SRL
car_146,SLR
car_147,R
car_148,SS
car_149,SL
car_150,R
car_151,LS
car_152,SL
car_153,RS
car_154,SS
car_155,SR
car_156,R
car_157,SRS
car_158,SR
car_159,L
car_160,SL
car_161,LL
car_30,RS
car_36,S
car_40,S
car_50,S
car_55,LS
car_56,LS
car_58,S
car_67,RL
car_81,RL
car_83,LS
car_97,SLS
car_106,LR
car_107,LR
car_109,RS
car_114,LS
car_118,SR
car_121,RS
car_123,R
car_128,SS
car_130,RS
car_133,SLS
car_134,SS
car_136,SR
car_138,RR
car_139,SRL
car_14,R
car_140,LS
car_141,SL
car_142,SRS
car_144,SR
car_147,R
car_158,SR
car_161,LL
car_162,RR
car_163,SLR
car_164,SS
car_165,SL
car_166,RS
car_167,SS
car_168,LL
car_169,SRS
car_170,L
car_171,R
car_172,SL
car_173,RS
car_174,SRL
car_175,R
car_176,SR
car_177,L
car_178,SS
car_179,SLR
car_180,SS
car_181,SRL
car_182,RS
car_183,SLS
car_184,SR
car_185,SRL
car_186,RR
car_187,RR
car_50,S
car_55,LS
car_60,LR
car_64,RS
car_67,RL
car_71,R
car_72,L
car_74,LR
car_88,R
car_9,S
car_97,LS
car_98,RL
