(0_0)_computation_time,(0_1)_computation_time,(0_2)_computation_time,(1_0)_computation_time,(1_1)_computation_time,(1_2)_computation_time,(2_0)_computation_time,(2_1)_computation_time,(2_2)_computation_time,
0.0006125,0.0002162,0.0001778,0.0002746,0.000147,0.0001214,0.0001243,0.0001228,0.0001152,
0.0005571,0.0001313,0.0001432,0.0001257,0.0001911,0.0019762,0.001503,0.0007604,0.0005388,
0.0545082,0.0715192,0.20616,0.203861,0.0006926,0.305479,0.390657,0.142269,0.161054,
0.274209,0.386047,0.601614,0.59319,0.000727,0.455028,0.347446,0.522964,0.643076,
0.485064,0.345425,0.679028,0.830729,0.0007374,0.343292,0.884121,0.348363,0.64294,
