(0_0)_MEC_speed,(0_1)_MEC_speed,(0_2)_MEC_speed,(1_0)_MEC_speed,(1_1)_MEC_speed,(1_2)_MEC_speed,(2_0)_MEC_speed,(2_1)_MEC_speed,(2_2)_MEC_speed,
0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,
36.6917,13.9823,14.5518,29.4318,0,13.0942,15.3587,14.0579,24.8365,
32.8217,15.5421,14.9598,23.6012,0,15.3837,34.5377,19.1218,18.6603,
32.9853,31.8449,27.9812,22.8715,0,29.1297,24.8835,40.1879,27.9964,
