new_car_num, all_car_num, compuation_time
24,40,0.546955
26,48,0.769458
24,48,0.7761
23,58,0.973086
23,65,1.02213
27,75,0.802544
21,75,0.81175
28,86,0.858383
29,90,1.11517
28,83,0.927836
26,93,0.955818
25,72,0.78497
24,75,0.954366
24,58,0.864211
20,70,0.80485
31,85,1.05498
26,74,0.872958
28,65,0.794415
25,56,0.74517
24,70,0.75699
22,57,0.75868
28,58,0.750162
25,70,0.822022
30,78,0.843106
23,75,0.603229
25,75,0.763271
29,82,0.956675
18,70,0.689877
27,69,0.674137
24,60,0.557135
24,64,0.5943
25,66,0.696511
29,76,0.890754
32,76,0.950107
21,71,0.879455
29,82,1.00554
29,86,0.816438
21,79,0.757377
28,81,0.964201
23,78,0.858099
26,64,0.730997
20,70,0.62304
27,77,0.807266
26,81,0.755266
24,82,0.818897
37,103,1.17958
30,89,0.949852
24,76,0.756225
28,87,0.82651
28,88,1.03482
30,100,1.09118
27,80,0.943327
26,68,0.722534
23,71,0.838656
22,70,0.999532
23,73,0.98447
26,93,1.02868
25,69,1.00125
23,72,1.02141
32,97,1.14819
28,87,0.983787
26,100,1.05945
28,83,0.987042
24,82,0.924894
31,82,0.77253
21,82,0.737571
28,86,1.04566
23,84,0.80936
26,78,0.764509
26,85,0.967437
24,73,1.01438
30,76,1.00201
24,79,0.7854
23,76,0.899418
27,81,0.767977
22,77,0.783659
27,101,1.05745
28,99,1.06315
23,85,0.964587
26,81,0.999774
27,78,0.964272
26,80,0.947141
25,81,1.01167
31,109,1.17507
28,93,1.18127
21,73,0.770728
27,78,0.976441
28,71,0.789003
23,61,0.764226
26,90,1.03904
29,99,1.00784
28,105,1.04768
24,82,0.897314
23,87,1.01678
27,92,1.04251
32,96,1.22647
20,81,0.941276
27,90,1.24227
18,84,0.839729
25,74,0.836707
31,93,1.05757
23,87,0.930315
22,77,0.753799
26,99,1.23936
30,86,1.00679
26,104,1.12822
20,98,1.11396
24,93,1.20712
22,89,1.19678
28,94,1.05292
26,98,1.23321
22,99,1.39551
25,103,1.3204
25,117,1.54915
31,117,1.44605
25,97,1.01994
22,104,1.28648
25,94,1.05006
30,105,1.2863
24,94,1.05295
17,86,1.11908
26,92,1.0834
29,94,1.22196
20,67,0.797207
24,108,1.2796
21,94,0.953081
19,87,1.12299
21,94,0.996654
23,90,1.05622
19,75,0.909803
21,97,1.24807
29,95,1.11095
24,107,1.19331
23,76,1.01765
26,92,0.979934
22,75,0.976228
24,95,1.34065
18,85,1.09455
21,89,0.992401
24,83,1.11411
18,91,1.06573
19,104,1.06969
19,76,0.828323
22,100,1.1099
20,92,1.10135
17,92,1.18508
27,103,1.17447
19,75,0.908826
22,87,0.998729
22,90,1.19567
24,89,1.2204
23,93,1.11969
26,106,1.30618
22,93,1.16072
27,65,0.803902
24,75,0.950883
13,81,1.10454
16,84,1.15238
20,96,1.26321
25,88,1.09419
30,106,1.23459
20,90,1.02006
24,109,1.44232
19,69,0.825459
22,71,0.994285
22,80,1.14073
21,70,0.909562
23,79,1.09272
22,87,1.21369
20,94,1.30007
22,97,1.37814
21,114,1.4906
12,85,1.46484
16,85,1.21803
26,91,1.22168
30,108,1.48253
34,107,1.36217
16,101,1.31949
20,91,1.09154
19,80,0.946099
28,108,1.30556
22,99,1.11202
20,76,1.16638
21,101,1.35555
26,117,1.46169
19,114,1.30518
22,84,1.18314
21,82,1.03825
22,108,1.3204
25,88,1.2358
16,98,1.19911
22,111,1.36514
18,100,1.18248
27,84,1.17571
20,70,1.05658
21,84,1.07802
15,65,0.827807
17,95,1.33072
16,108,1.43069
19,101,1.1891
30,115,1.67146
21,84,1.2334
14,69,1.11159
22,89,1.23473
23,67,0.999751
20,66,0.928103
30,100,1.35444
23,105,1.44105
18,66,1.12541
21,68,1.02167
26,103,1.88135
20,112,1.37328
19,102,1.5805
22,106,1.76566
20,98,1.35979
17,78,1.22526
24,102,1.36806
19,106,1.50276
22,97,1.3105
27,106,1.3819
16,88,1.2877
20,111,1.40063
23,122,1.7319
25,118,1.50332
17,114,1.48917
20,101,1.35211
23,115,1.74548
22,97,1.34113
17,94,1.30918
18,95,1.25443
29,108,1.30255
33,109,1.31197
24,110,1.46833
20,99,1.22792
23,91,1.46123
23,88,1.23865
23,92,1.2284
22,114,1.62374
16,94,1.26206
20,83,0.992997
24,103,1.29416
27,107,1.66632
23,76,0.958221
21,91,1.28785
15,83,1.25002
17,101,1.29731
20,104,1.28026
21,85,1.28785
25,98,1.44576
18,107,1.30601
15,113,1.80576
18,106,1.64679
18,98,1.53545
25,115,1.74844
14,111,1.4555
22,110,1.53975
16,86,1.38538
18,66,1.15509
22,97,1.65672
23,80,1.27415
26,107,1.30348
28,104,1.34493
21,83,1.3593
15,84,1.22538
23,81,1.40842
30,81,1.1713
22,93,1.12514
27,119,1.44469
13,95,1.3322
19,106,1.30814
11,96,1.13965
22,116,1.83924
16,98,1.51825
25,93,1.30573
20,93,1.23961
22,113,1.52068
23,111,1.61743
21,86,1.36665
23,87,1.19669
27,91,1.43978
30,117,1.37481
23,68,0.877366
13,90,1.30976
18,85,1.16009
21,84,1.07176
24,90,0.988867
22,85,1.06383
17,62,0.795464
16,76,1.11767
18,89,1.0606
15,63,0.909597
14,85,1.1861
15,95,1.47294
13,95,1.21966
18,78,1.15733
16,58,0.715863
27,99,1.3311
17,115,1.46859
16,105,1.6281
21,100,1.44063
21,91,1.07519
14,81,1.23376
18,82,1.14806
18,79,1.08473
17,102,1.45743
18,90,1.47666
23,112,1.73944
28,111,1.72373
15,94,1.52998
18,97,1.58931
4,68,1.18279
17,90,1.5225
14,97,1.62723
11,106,1.49232
21,108,1.30682
24,119,1.62733
26,107,1.53256
23,112,1.83423
16,85,1.35946
15,85,1.51948
19,105,1.41071
22,108,1.42747
12,95,1.365
17,99,1.53166
12,92,1.52763
9,93,1.54702
15,80,1.25251
16,72,1.2046
19,80,1.10946
23,112,1.41096
25,130,1.84725
20,98,1.37167
20,117,1.7921
21,112,1.35002
26,108,1.73021
20,83,1.10035
19,60,0.845547
16,62,0.870958
25,114,1.39608
14,88,1.20196
15,92,1.25655
23,108,1.17628
26,111,1.39644
24,99,1.36846
19,77,1.02287
17,73,0.98531
12,78,0.960528
23,111,1.44743
38,127,1.65216
24,116,1.6693
21,111,1.25457
22,83,1.06078
26,72,0.89069
17,88,1.31166
20,88,1.09061
22,92,1.2892
22,102,1.2875
22,103,1.30837
15,107,1.24841
13,77,1.05491
26,115,1.4934
29,119,1.51862
22,121,1.59035
21,86,1.16069
29,111,1.47159
18,121,1.70927
24,106,1.58441
21,97,1.32363
27,117,1.69852
23,90,1.0308
19,111,1.55894
23,119,1.37002
18,98,1.21247
22,85,1.05344
30,141,1.53296
19,110,1.75621
15,79,1.22041
22,121,1.65844
18,105,1.28864
22,115,1.61066
18,99,1.09591
20,90,1.29293
23,98,1.32078
24,90,1.30962
15,76,0.915639
13,89,1.08171
23,103,1.15284
25,92,1.23427
11,94,1.27971
30,96,1.05268
26,120,1.43674
21,108,1.53626
21,101,1.26307
18,97,1.18407
11,91,1.05299
18,94,1.21481
22,111,1.42159
30,108,1.48753
30,105,1.23559
19,85,1.18043
19,98,1.55589
19,96,1.29656
17,88,1.0662
19,99,1.35744
12,101,1.46441
18,89,1.34804
20,80,1.08009
21,91,1.21297
30,109,1.44444
20,103,1.49353
16,109,1.40371
10,60,1.04335
18,83,0.973914
14,78,1.1548
16,99,1.63303
16,103,1.45848
20,109,1.32764
22,109,1.25592
23,103,1.67161
13,94,1.23792
15,106,1.49859
19,98,1.26451
19,100,1.28449
30,105,1.52333
10,102,1.43658
18,99,1.37648
14,94,1.36732
13,92,1.25116
17,89,1.19963
19,103,1.35554
25,124,1.82181
20,98,1.4064
19,100,1.2406
22,110,1.61735
17,94,1.13917
19,91,1.12737
14,72,0.839963
18,103,1.39359
28,138,1.74045
27,84,1.18423
19,96,1.19754
15,127,1.94262
15,100,1.43845
19,105,1.62182
18,84,1.28168
19,99,1.3335
30,124,1.9132
18,106,1.60637
15,85,1.51979
9,83,1.35881
17,103,1.87283
18,109,1.77425
18,97,1.63469
14,113,1.8289
19,114,1.66585
15,79,1.07042
14,78,1.04792
17,75,1.1905
16,109,1.69354
14,101,1.33244
20,95,1.45294
21,104,1.69789
16,101,1.52228
19,93,1.40299
19,106,1.37214
16,97,1.39584
14,107,1.48936
17,104,1.85441
11,106,1.51518
12,74,1.17841
17,92,1.38308
17,80,1.28506
15,91,1.36218
15,91,1.32755
19,100,1.39298
9,83,1.19881
22,75,1.137
20,83,1.14132
13,88,1.38641
21,47,0.932814
20,58,0.862957
18,49,0.745639
12,70,1.1289
16,63,0.887387
11,42,0.924947
7,65,1.05661
13,96,1.42311
15,100,1.23786
11,66,0.86203
10,55,0.839874
16,104,1.64161
17,83,1.30204
11,81,1.06038
14,87,1.42868
13,78,1.21065
12,74,1.22161
16,63,0.996828
13,91,1.26504
13,89,1.20362
16,93,1.09163
12,82,1.23165
16,97,1.65662
7,86,1.4604
10,79,1.32171
8,73,1.44389
6,110,1.76636
13,97,1.58623
12,91,1.24866
13,101,1.71582
12,80,1.3219
11,86,1.46965
9,70,1.14229
11,56,0.995409
9,93,1.53768
7,90,1.57323
6,60,1.00456
11,55,0.916741
8,27,0.445061
12,35,0.577317
9,41,0.642581
12,42,0.685035
15,59,1.00863
9,60,1.04056
9,42,0.749952
14,31,0.608711
4,30,0.504866
7,39,0.540908
13,38,0.571143
9,40,0.64224
7,57,0.993882
13,73,1.19093
8,54,0.855877
14,47,0.661495
10,49,0.768303
6,61,1.14038
9,48,0.90069
