(0_0)_MEC_range,(0_1)_MEC_range,(0_2)_MEC_range,(1_0)_MEC_range,(1_1)_MEC_range,(1_2)_MEC_range,(2_0)_MEC_range,(2_1)_MEC_range,(2_2)_MEC_range,
(1_1)|(1_2)|(1_3)|(2_1)|(2_2)|(2_3)|(3_1)|(3_2)|(3_3)|,(1_4)|(1_5)|(1_6)|(2_4)|(2_5)|(2_6)|(3_4)|(3_5)|(3_6)|,(1_7)|(1_8)|(1_9)|(2_7)|(2_8)|(2_9)|(3_7)|(3_8)|(3_9)|,(4_1)|(4_2)|(4_3)|(5_1)|(5_2)|(5_3)|(6_1)|(6_2)|(6_3)|,(4_4)|(4_5)|(4_6)|(5_4)|(5_5)|(5_6)|(6_4)|(6_5)|(6_6)|,(4_7)|(4_8)|(4_9)|(5_7)|(5_8)|(5_9)|(6_7)|(6_8)|(6_9)|,(7_1)|(7_2)|(7_3)|(8_1)|(8_2)|(8_3)|(9_1)|(9_2)|(9_3)|,(7_4)|(7_5)|(7_6)|(8_4)|(8_5)|(8_6)|(9_4)|(9_5)|(9_6)|,(7_7)|(7_8)|(7_9)|(8_7)|(8_8)|(8_9)|(9_7)|(9_8)|(9_9)|,
(1_1)|(1_2)|(1_3)|(2_1)|(2_2)|(2_3)|(3_1)|(3_2)|(3_3)|,(1_4)|(1_5)|(1_6)|(2_4)|(2_5)|(2_6)|(3_4)|(3_5)|(3_6)|,(1_7)|(1_8)|(1_9)|(2_7)|(2_8)|(2_9)|(3_7)|(3_8)|(3_9)|,(4_1)|(4_2)|(4_3)|(5_1)|(5_2)|(5_3)|(6_1)|(6_2)|(6_3)|,(4_4)|(4_5)|(4_6)|(5_4)|(5_5)|(5_6)|(6_4)|(6_5)|(6_6)|,(4_7)|(4_8)|(4_9)|(5_7)|(5_8)|(5_9)|(6_7)|(6_8)|(6_9)|,(7_1)|(7_2)|(7_3)|(8_1)|(8_2)|(8_3)|(9_1)|(9_2)|(9_3)|,(7_4)|(7_5)|(7_6)|(8_4)|(8_5)|(8_6)|(9_4)|(9_5)|(9_6)|,(7_7)|(7_8)|(7_9)|(8_7)|(8_8)|(8_9)|(9_7)|(9_8)|(9_9)|,
(1_1)|(1_2)|(1_3)|(2_1)|(2_2)|(3_1)|(3_2)|(4_2)|,(1_4)|(1_5)|(1_6)|(2_4)|(2_5)|(2_6)|(2_3)|(2_7)|(1_7)|,(1_8)|(1_9)|(2_8)|(2_9)|(3_8)|(3_9)|(4_8)|,(4_1)|(5_1)|(5_2)|(6_1)|(6_2)|(7_2)|,(4_4)|(4_5)|(4_6)|(5_4)|(5_5)|(5_6)|(6_4)|(6_5)|(6_6)|(3_4)|(3_5)|(3_6)|(3_3)|(7_4)|(7_5)|(7_6)|(3_7)|(4_7)|(5_7)|(6_7)|(7_7)|(4_3)|(5_3)|(6_3)|(7_3)|,(4_9)|(5_8)|(5_9)|(6_8)|(6_9)|(7_8)|,(7_1)|(8_1)|(8_2)|(9_1)|(9_2)|(9_3)|,(8_4)|(8_5)|(8_6)|(9_4)|(9_5)|(9_6)|(8_7)|(8_3)|,(7_9)|(8_8)|(8_9)|(9_7)|(9_8)|(9_9)|,
(1_1)|(1_2)|(1_3)|(2_1)|(2_2)|(3_1)|(3_2)|(4_2)|,(1_4)|(1_5)|(1_6)|(1_7)|(2_3)|(2_4)|(2_5)|(2_6)|,(1_8)|(1_9)|(2_8)|(2_9)|(3_8)|(3_9)|(2_7)|,(4_1)|(5_1)|(5_2)|(6_1)|(6_2)|(7_2)|,(3_3)|(3_4)|(3_5)|(3_6)|(3_7)|(4_3)|(4_4)|(4_5)|(4_6)|(4_7)|(5_3)|(5_4)|(5_5)|(5_6)|(5_7)|(6_3)|(6_4)|(6_5)|(6_6)|(6_7)|(7_3)|(7_4)|(7_5)|(7_6)|(7_7)|,(4_9)|(5_8)|(5_9)|(6_8)|(6_9)|(7_8)|(4_8)|,(7_1)|(8_1)|(8_2)|(9_1)|(9_2)|(9_3)|(8_3)|,(8_4)|(8_5)|(8_6)|(8_7)|(9_4)|(9_5)|(9_6)|,(7_9)|(8_8)|(8_9)|(9_7)|(9_8)|(9_9)|,
