new_car_num, all_car_num, compuation_time
0,0,0.0018929
0,0,0.0013736
23,115,4.23063
30,265,8.22399
36,445,14.5946
26,575,16.946
37,740,19.4148
39,775,19.5184
30,835,19.1296
30,910,19.166
33,975,21.0712
31,980,22.8291
37,1040,25.7947
30,1030,24.3823
37,1055,24.5842
37,1130,28.6397
29,1165,27.5301
39,1220,28.3659
35,1285,29.0175
27,1275,28.635
29,1205,26.5005
37,1315,27.1225
22,1355,27.1663
29,1180,26.0546
32,1190,25.9823
32,1155,25.7478
32,1205,26.0709
23,1125,24.7037
37,1160,25.5556
25,1160,24.4553
32,1185,24.5779
30,1190,25.5765
20,1230,25.3066
20,1195,23.3666
26,1195,22.3749
25,1230,23.4294
28,1175,25.036
33,1255,30.2849
17,1235,28.5988
28,1300,29.6017
24,1325,28.3239
20,1265,27.3824
26,1240,25.5039
32,1325,26.5127
30,1285,26.332
16,1290,28.5562
21,1210,26.4199
25,1310,28.9483
19,1260,26.2434
33,1420,30.2924
23,1405,30.9848
25,1455,31.9901
26,1390,31.472
29,1345,33.4684
29,1420,33.6684
28,1365,31.0959
24,1340,28.8804
18,1285,28.657
25,1255,29.5914
29,1335,32.8982
22,1275,32.3246
27,1245,28.1369
23,1285,30.3841
17,1235,31.1598
20,1200,28.0056
39,1270,31.8155
18,1230,31.1912
21,1255,31.1311
27,1320,33.0202
28,1370,35.1595
12,1375,33.5223
23,1330,29.5118
28,1345,30.8228
17,1335,27.6525
17,1320,26.368
21,1305,26.4483
21,1255,25.3062
26,1300,27.2218
28,1395,31.5773
18,1300,31.1403
11,1245,26.8964
32,1380,31.0224
21,1380,33.4965
15,1270,31.0828
24,1315,31.0267
26,1315,33.2532
30,1520,32.6768
11,1400,28.0872
29,1480,32.2544
16,1445,34.3148
32,1490,36.029
22,1510,36.6984
24,1460,38.585
25,1375,35.5841
21,1340,30.6908
17,1265,29.603
22,1340,31.9941
20,1305,27.7063
18,1355,28.3206
16,1270,27.0538
28,1235,26.8072
19,1290,30.4503
9,1220,28.3834
30,1370,32.7356
23,1500,34.1927
19,1440,31.0121
19,1305,29.0226
22,1320,29.242
17,1205,26.1963
13,1140,24.0638
26,1160,25.1204
27,1295,35.6702
12,1245,37.6782
14,1340,38.1106
14,1245,29.5951
16,1175,25.6061
22,1240,29.7392
18,1200,29.0952
20,1150,30.5166
29,1285,33.5476
13,1325,33.8289
20,1295,32.2572
25,1235,31.0939
19,1260,31.4466
22,1270,32.7807
16,1155,31.4599
17,1105,29.8362
21,1085,28.0885
13,995,24.5806
25,1035,24.5223
14,1230,27.1086
15,1300,27.8287
12,1245,26.7502
23,1220,28.0958
38,1320,32.3855
21,1270,30.8755
11,1265,31.3624
23,1415,35.6724
20,1285,33.6021
11,1235,35.5342
32,1255,32.221
25,1285,35.05
21,1265,33.9471
28,1390,35.9813
22,1305,35.2497
19,1270,33.4375
24,1350,38.7454
17,1245,35.4851
21,1315,39.9721
26,1345,43.1649
28,1380,45.5971
23,1360,37.9897
15,1235,36.9774
17,1200,36.4942
24,1275,34.718
26,1250,33.962
12,1255,35.7573
20,1260,36.845
25,1310,35.5623
30,1390,40.8546
25,1345,42.4773
20,1420,49.1058
19,1335,37.8576
30,1510,40.0911
36,1480,39.9638
18,1420,35.2199
18,1285,34.7998
28,1375,38.4977
19,1370,33.4242
25,1370,34.0462
21,1340,34.6335
20,1225,31.2737
24,1325,34.4519
17,1310,33.0671
14,1240,29.1405
19,1280,29.3095
25,1285,30.3435
24,1295,31.8758
17,1280,29.4785
24,1235,31.5572
16,1270,34.3786
14,1335,34.6903
32,1390,40.3096
26,1325,41.2959
14,1295,42.3067
26,1355,50.8454
32,1395,58.3262
17,1435,51.9054
16,1400,59.0814
23,1425,66.0476
17,1350,56.82
10,1140,44.0579
14,1125,44.5944
24,1215,45.4139
16,1145,40.0202
9,1075,38.092
26,1215,44.8176
27,1200,49.4149
20,1260,44.6141
19,1255,46.0083
26,1495,58.523
20,1470,55.5957
19,1335,47.2118
33,1415,44.0229
24,1370,40.0824
21,1390,40.3196
23,1305,34.9091
21,1375,36.8341
25,1350,38.4082
27,1335,37.9986
12,1225,33.4438
23,1225,30.8177
13,1180,35.3416
17,1355,37.2113
25,1415,35.1374
21,1325,37.6613
27,1295,36.4403
22,1370,42.2902
31,1455,40.1132
18,1365,47.5641
35,1490,51.108
16,1460,45.618
18,1445,43.4458
24,1525,42.6629
