0_00_10_21_01_11_22_02_12_2
0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,
2,1,3,6,0,4,6,2,4,
13,11,16,21,0,14,20,15,17,
29,26,45,81,0,27,56,30,34,
25,26,58,85,0,33,53,51,62,
43,68,139,109,0,35,65,51,64,
112,70,168,78,0,37,91,29,76,
164,46,151,53,0,59,140,49,120,
169,49,120,62,0,71,177,79,74,
158,88,143,78,0,100,130,97,51,
191,163,193,148,12,104,95,141,56,
140,131,163,130,0,87,79,146,62,
95,146,197,210,5,158,95,138,128,
119,126,130,194,0,174,109,111,71,
175,223,108,203,7,221,124,141,75,
132,104,259,188,33,148,253,126,75,
191,72,250,109,8,151,216,124,85,
275,98,321,78,0,179,283,123,90,
357,192,199,93,7,200,290,147,93,
165,299,148,195,57,277,237,174,116,
149,275,199,236,0,163,285,138,149,
161,239,176,163,0,178,292,140,188,
167,171,177,143,9,191,212,122,164,
208,401,156,224,50,283,294,181,147,
272,177,150,229,0,290,225,93,137,
275,198,159,347,11,388,239,134,164,
313,251,176,357,70,472,194,151,245,
309,276,223,228,70,240,352,180,277,
212,343,275,244,77,202,284,174,436,
216,286,261,163,51,208,272,215,309,
